section	item	before_v49	after_v49	interpretation	boundary
matrix_size	relationship rows	12	23	V49 added 11 explicit relationship rows for the prior high-priority coverage gaps.	synthesis/navigation only; no biological claim
matrix_counts	convergences	2	7	Five additional rows now have independent-source corroboration context.	grounded project artifacts remain the evidence
matrix_counts	contradictions	0	0	No imported external record directly contradicts a grounded finding under the V48/V49 relationship rules.	absence of contradiction is not proof of external consensus
matrix_counts	insufficient-overlap rows	10	16	Six additional rows were closed honestly as insufficient overlap rather than overstated as corroboration.	context remains context
gap_status	high-priority V37 external coverage gaps	11	0	The prior high-priority gap list is closed; remaining uncovered findings are medium priority.	source-intake planning only
new_corroboration	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	no row	converges	UC colonoid JAK/STAT1/MHC-II context aligns with the dynamic mucosal response finding.	external agreement corroborates context only
new_corroboration	UC genetics vs treatment-response layer split	no row	converges	MS-IBD treatment-transfer caution aligns with the layer-split finding.	external agreement corroborates context only
new_corroboration	First-principles druggability discipline changed target interpretation	no row	converges	External target-prioritization methods align with direction/tractability discipline.	external agreement corroborates context only
new_corroboration	Tool-robust but simple V22 scalar	no row	converges	Prediction-model validation guidance aligns with preferring validated simplicity over flexible in-sample complexity.	external agreement corroborates context only
new_corroboration	MHC overlap is distinct-signal, not simple shared biology	no row	converges	MHC fine-mapping literature aligns with the project's caution against simple shared-causal overreading.	external agreement corroborates context only
new_insufficient_overlap	Locked V7 general cross-disease baseline fallback killed	no row	insufficient-overlap	Prediction-model guidance is method context but does not independently test the specific baseline-fallback kill.	do not reopen without same-failure-mode data
new_insufficient_overlap	Crohn downstream IFN/APC convergence exceeds genetic proximity	no row	insufficient-overlap	MS-UC/MS-CD genetic proximity context does not test downstream Crohn IFN/APC response convergence.	requires Crohn response data
new_insufficient_overlap	RA pregnancy comparator but blood APC treatment-response nontransfer	no row	insufficient-overlap	RA/SLE pregnancy transcriptome context does not test MS/RA blood APC treatment-response transfer.	requires transfer-specific response data
new_insufficient_overlap	EBV/IFN APC imprint downgraded by specificity control	no row	insufficient-overlap	EBV-MS risk context does not rescue a specificity-failed APC/IFN imprint.	requires EBV-stratified expression plus specificity controls
new_insufficient_overlap	GPR25 demoted from protected favorite	no row	insufficient-overlap	External GPR25 nomination does not resolve direction, tractability, or the V19 demotion reason.	requires signal-specific direction/tractability evidence
new_insufficient_overlap	No load-bearing invariant found in V26	no row	insufficient-overlap	General MS biomarker heterogeneity context does not reproduce the V26 invariant search.	requires null-tested invariant candidate
