rank	gene	rank_score	call	axis	scope	genetic_anchor	target_level_status	restoration_direction	current_feasible_modality	speculative_restoration	target_tissue	perturbation_evidence	prior_art_signal	safety	decision_reason	needed_to_reopen
1	GPR65	3.517	PARK	acidic tissue pH-sensing GPCR / cAMP brake	prompt	5 OT diseases >=0.5: AS;Crohn;MS;Psoriasis;UC	no_go	agonize or positively modulate GPR65 if risk alleles reduce the anti-inflammatory pH/cAMP response	selective small-molecule agonist/PAM is a feasible GPCR modality; ChEMBL and patents indicate chemistry exists.	biomarker-gated agonism in non-IBD autoimmune tissue or compartment-targeted exposure remains speculative.	inflamed gut and acidic tissue myeloid/T-cell compartments; possible epithelial-adjacent immune niches	Wave20 manual perturbation score 2.0	EuropePMC=302; ClinicalTrials=0; ChEMBL_API=99	risk of broad immune suppression or tissue-pH biology effects; direction depends on preserving host defense and not amplifying maladaptive cAMP states.	current modality class is plausible, but local support is weak/contradictory and IBD/GPR65 prior art is already direct.	fine-mapped non-IBD coloc plus selective agonist/PAM rescue in human disease myeloid or epithelial-immune systems.
2	IL10	2.833	PARK	IL-10 regulatory cytokine tolerance	prompt	7 OT diseases >=0.5: AS;Crohn;Psoriasis;RA;SLE;T1D;UC	locus_only_or_coloc_ready_not_run	increase IL-10 pathway signaling in the right inflammatory compartment	recombinant or engineered IL-10/IL10R agonism is feasible as a biologic modality.	compartment-targeted IL-10, matrix/fibronectin-targeted IL-10, or gene/cell-local IL-10 delivery is still not a validated cross-autoimmune route here.	intestinal lamina propria, macrophage/DC/Treg circuits, and other inflamed tissue immune niches	Wave20 manual perturbation score 2.0	EuropePMC=92281; ClinicalTrials=5; ChEMBL_API=0	systemic cytokine exposure can be nonselective; efficacy and dose-limiting immune effects are historical concerns.	restoration modality exists, but direct prior art and lack of local biomarker delta block a new V3 claim.	localized IL-10 delivery with responder biomarker and human disease-cell rescue outside saturated IBD prior art.
3	PTPN2	1.167	NO_GO	TCPTP cytokine/TCR and epithelial-barrier brake	prompt	8 OT diseases >=0.5: AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	no_go	restore or increase TCPTP function; inhibition is directionally wrong for autoimmune genetics.	no target-selective TCPTP activator/restorer in local ChEMBL/Wave20 evidence; inhibitor chemistry is abundant but wrong direction.	mRNA, gene correction, allele repair, targeted protein stabilization, or pathway-bypass restoration.	T cells, myeloid cells, intestinal epithelium/barrier tissue, thyroid/immune interfaces	Wave20 manual perturbation score 2.5	EuropePMC=1332; ClinicalTrials=1; ChEMBL_API=1279	restoration would need cell-selective tuning; global PTPN2 manipulation touches cytokine signaling, TCR signaling, and barrier homeostasis.	correct direction is restoration, but no current target-selective modality can restore TCPTP in the relevant compartments.	true TCPTP activator/restorer or allele-correcting delivery plus human disease-cell rescue and coloc.
4	SH2B3	1.15	NO_GO	LNK hematopoietic cytokine/JAK adaptor brake	prompt	10 OT diseases >=0.5: AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	no_go	restore LNK/SH2B3 negative-regulatory adaptor function.	no direct adaptor-function restoration modality.	gene editing/replacement, protein interaction stabilization, or downstream cytokine-pathway tuning.	hematopoietic stem/progenitor, T-cell, myeloid, platelet, and vascular-adjacent blood compartments	Wave20 manual perturbation score 1.5	EuropePMC=1412; ClinicalTrials=0; ChEMBL_API=0	hematopoietic, platelet, vascular, and cytokine pleiotropy make systemic restoration risky and hard to disease-target.	broad genetics but no current target-selective restoration modality and substantial pleiotropy.	target-resolved coloc/MR independent of 12q24 pleiotropy plus an LNK-restoring delivery concept.
5	CLEC16A	0.733	NO_GO	CLEC16A mitophagy/autophagy quality control	prompt	7 OT diseases >=0.5: Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	no_go	restore CLEC16A-linked mitophagy/autophagy if risk alleles cause hypofunction.	no selective direct CLEC16A drug; only broad indirect mitophagy/autophagy modulators.	cell-selective mitophagy tuning, targeted gene/mRNA replacement, or precise downstream pathway restoration.	immune cells, pancreatic beta-cell stress circuits, CNS/glial contexts, and tissue-specific endolysosomal quality control	Wave20 manual perturbation score 2.0	EuropePMC=667; ClinicalTrials=0; ChEMBL_API=0	broad autophagy modulation can affect survival, antigen handling, infection, and tissue stress responses.	correct direction may be restoration, but current tools are indirect and not target-selective; locus causality is unresolved.	fine mapping separating CLEC16A from neighboring genes plus selective CLEC16A/mitophagy rescue in disease-relevant cells.
6	ATG16L1	0.667	NO_GO	autophagy/xenophagy epithelial-immune stress handling	prompt	8 OT diseases >=0.5: AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	locus_only_or_coloc_ready_not_run	restore autophagy/xenophagy in hypomorphic risk-variant carriers.	no selective ATG16L1 restoration drug; pathway autophagy modulators are broad.	allele-specific correction, targeted protein stabilization, or compartment-selective autophagy enhancement.	intestinal epithelium/Paneth cells, macrophages, bacterial handling compartments, and gut immune niches	Wave20 manual perturbation score 2.0	EuropePMC=723; ClinicalTrials=0; ChEMBL_API=0	global autophagy enhancement or suppression has infection, cancer, epithelial stress, and immune-processing liabilities.	restoration direction is plausible, but no current modality restores ATG16L1 selectively in gut/immune compartments.	ATG16L1-selective target engagement or allele-correcting strategy plus gut/immune rescue data.
7	TNFAIP3	-0.367	NO_GO	A20 ubiquitin-editing NF-kappaB/TNF/TLR brake	prompt	7 OT diseases >=0.5: AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	no_go	restore A20 function or mimic its negative-feedback complex.	no direct A20 function-restoring small molecule or targeted biologic in local evidence.	gene replacement, mRNA, protein stabilization, E3/DUB complex modulation, or downstream NF-kappaB pathway mimicry.	broad immune cells, epithelial/stromal inflammatory interfaces, keratinocytes and gut tissue depending on disease	Wave20 manual perturbation score 2.0	EuropePMC=8401; ClinicalTrials=1; ChEMBL_API=0	A20 is broad and tumor-suppressor-adjacent in some contexts; systemic restoration or bypass could be hard to titrate.	strong restoration biology but no current target-selective A20 restoration modality.	selective A20 stabilizer/restorer with immune-cell target engagement and target-level genetic direction.
8	OSMR	-0.767	NO_GO	OSM/OSMR tissue inflammatory remodeling comparator	local_addition_wave20	4 OT diseases >=0.5: AS;Crohn;Psoriasis;UC	locus_only_or_coloc_ready_not_run	not restoration; if anything the current modality concept is OSM/OSMR blockade.	anti-OSM/anti-OSMR biologic concept is feasible but inhibitory.	not applicable.	stromal, epithelial, fibroblast-like and tissue-remodeling inflammatory compartments	Wave20 manual perturbation score 1.5	EuropePMC=597; ClinicalTrials=0; ChEMBL_API=0	tissue repair/remodeling biology and disease-specific direction risks.	Not a restoration-first target in this scout: locally justified comparator, but not a restoration target and previously demoted as IBD/tissue-remodeling prior art.	separate blockade-focused biomarker delta; not this restoration scout.
9	TASL	-0.933	NO_GO	SLC15A4 adaptor / CXorf21-TASL endolysosomal TLR pathway	local_addition_endolysosomal	2 OT diseases >=0.5: RA;SLE	no_go	not restoration; pathway concept is dampening TASL-dependent TLR/IRF signaling.	no direct TASL restoration modality; pathway inhibition would be the relevant comparator.	not applicable.	pDC, B-cell and myeloid endolysosomal TLR compartments	no direct local perturbation row	EuropePMC=0; ClinicalTrials=0; ChEMBL_API=0	host-defense and innate immune suppression liabilities if inhibited; no restoration rationale.	Not a restoration-first target in this scout: locally justified endolysosomal comparator, but not a restoration target and genetics breadth is limited.	not a restoration candidate.
10	CARD9	-1.117	NO_GO	CARD9 innate fungal/NF-kappaB adaptor	prompt	4 OT diseases >=0.5: AS;Crohn;Psoriasis;UC	locus_only_or_coloc_ready_not_run	not cleanly restoration; allele/context may require pathway normalization while preserving antifungal immunity.	no direct CARD9-restoring or target-selective adaptor modality.	microbiome/fungal axis modulation or protein-interaction tuning.	myeloid cells, gut innate immune/fungal sensing niches	Wave20 manual perturbation score 1.5	EuropePMC=1542; ClinicalTrials=1; ChEMBL_API=0	antifungal immunity and innate NF-kappaB liabilities are central.	direction is not a clean restoration hypothesis and no direct modality exists.	allele-specific disease mechanism and selective myeloid pathway-normalization data.
