source	proposal_id	proposal_record	grounded_outcome	grounded_reason	grounding_artifact
claude	H1_transfer_entropy_directionality	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	untestable	Perturbation rows are unordered signatures, not temporal observations; pseudo-ordering would fabricate direction.	NA
claude	H2_causal_identifiability_negative	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	supported	This exact enumeration establishes non-identifiability from the supported summary skeleton; it does not establish that biological direction is absent.	analysis/v53_model_proposal_grounding/causal_identifiability_summary.json
claude	H3_hysteresis_treatment_response	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	untestable	Pharmacodynamic and response matrices contain aggregate contrasts from different rows, not within-subject trajectories.	NA
claude	H4_robustness_geometry_curvature	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	inconclusive	Twenty-four sparse signatures and unmatched response summaries do not identify local Hessians at named biological anchors.	NA
claude	H5_counterfactual_transfer_cross_disease	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	inconclusive	Cross-disease rows are count/effect summaries and response rows are heterogeneous contrasts; no matched observational units exist for counterfactual prediction.	NA
claude	H6_information_bottleneck_scalar	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	untestable	Perturbation and response matrices have incompatible row semantics and no shared relevance labels for an information-bottleneck fit.	NA
claude	H7_negative_space_forbidden_edges	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	not_supported	Missing module coverage is not treated as edge absence. Only pairs assessed in every modality enter the strict test.	analysis/v53_model_proposal_grounding/negative_space_summary.json
claude	H8_state_transition_bistability	knowledge_external/model_outputs/v53_unconventional_generation/claude_record.json	untestable	Cell-state rows are twelve disease/compartment aggregates, not sample distributions; bimodality would not imply cellular bistability.	NA
gemini	CRL_2024_001	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	No patient-level baseline/on-treatment distributions exist in the V26 summary matrices for mutual-information change estimation.	NA
gemini	CRL_2024_002	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	not_supported	Rows are aggregate group/module effects, not patient observations. This test cannot establish patient-level causal rewiring or prediction.	analysis/v53_model_proposal_grounding/transfer_error_summary.json
gemini	CRL_2024_003	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	Aggregate group-effect rows cannot estimate within-group patient covariance or an energy basin.	NA
gemini	CRL_2024_004	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	Held perturbations are not stratified by eventual patient response status.	NA
gemini	CRL_2024_005	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	Rows are heterogeneous group summaries rather than patient state points; an SVM would be a small-n semantic-confounding artifact.	NA
gemini	CRL_2024_006	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	Stimulus and treatment matrices are too small and aggregate to identify or compare causal DAGs.	NA
gemini	CRL_2024_007	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	Current AlphaFold records are monomers and expose no complex-interface confidence; no PPI may be inferred from them.	NA
gemini	CRL_2024_008	knowledge_external/model_outputs/v53_unconventional_generation/gemini_record.json	untestable	The held treatment summaries do not resolve temporal activation order.	NA
