workstream	probe	proposal_source	epistemic_class	grounded_outcome	artifact	artifact_sha256	artifact_verdict	interpretation_boundary
B	MIF/CD74 target audit	agent	grounded-real-data	not-supported	analysis/v53_mif_cd74_grounded_audit/summary.json	ff0cc2667fec6d0cab520478604720dd7d010bac8ae7ef174bd4170fbd33f7e2	NOT_SUPPORTED_AS_THERAPEUTIC_TARGET_RETAIN_AS_TONE_LOADED_STATE_READOUT	No adjusted receptor-specific therapeutic signal or consistent direction.
A/B	MIF/CD74 structure context	AlphaFold/PDB	external-unverifiable-prediction-context	inconclusive	knowledge_external/synthesis/v53_mif_cd74_structure_context/record.json	4ebdcef1d7c9b937c27b5c77724454f54663b497ec1e347bd31d6773c08bf202		Structure adds context but cannot repair causal or directional gaps.
A	APC-axis structure-first target scout	AlphaFold	external-unverifiable-prediction-context	not-supported	knowledge_external/synthesis/v53_apc_structure_scout/record.json	5ca24843f29777e52dd0060118a4f5bbd43f1635d7173844f71121c6024902e3		No target gate changed across 13 proteins.
C	Additive two-node intervention probe	agent	grounded-real-data	not-supported	analysis/v53_combinatorial_intervention_probe/summary.json	86aa534167d6d49d95e8d29941425b3249edd2e2ae30f3dd2e86a64b767c9517	NO_ADDITIVE_PAIR_OUTPERFORMS_THE_BEST_SINGLE_NODE_UNDER_NULL_GATE	No pair survived BH plus max-T correction.
D	Association-network control-node probe	agent	grounded-real-data	not-supported	analysis/v53_network_control_probe/summary.json	f12cb744663b063391785f2e2ce9012459aca89d671188c5cfabb76dd4027995	NO_REPLICATED_SELECTIVE_CONTROL_NODE_UNDER_NULL_GATE	No corrected cross-context control node; RFX5 remains nominal only.
E	Claude/Gemini divergent proposals	Claude/Gemini	model-proposal-only	triaged	analysis/v53_model_proposal_grounding/summary.json	82c757f5614b7a40aea78a4b329c2e90e6362bd3e8535389ae149f2bf9f413c4		One methodological negative supported; no biological lead promoted.
E	RPT feasibility lens	SAP RPT	model-proposal-only	consistency-only	knowledge_external/model_outputs/v53_rpt_proposal_lens/record.json	f18edacd750e732d7b4bfba5904ce22508300ba77388e1005afa54ce350f2e23		Matched encoded schema feasibility; no independent biology.
D	Causal-equivalence orientation	agent	grounded-method	supported-boundary	analysis/v53_model_proposal_grounding/causal_identifiability_summary.json	90da9189c124d1360d62c01978001c8fdb931d3a0c9aa7a01dbc93c149792318	SUPPORTED_METHODOLOGICAL_NEGATIVE_CURRENT_SUMMARIES_DO_NOT_IDENTIFY_DIRECTION	Current three-edge summaries identify no consensus direction.
D	Causal-identifiability skeleton sensitivity	agent	grounded-method	supported-boundary	analysis/v53_causal_identifiability_sensitivity/summary.json	15b7051a37870b2f996132ac971bb149770a0ab1ff03a920a0a582f11a1f98b3	ZERO_EDGE_DIRECTION_SURVIVES_TEN_PRE_SPECIFIED_SKELETON_RULES	Zero consensus-oriented edges across all 10 skeleton variants.
D	Matrix semantic contract	agent	grounded-method	supported-boundary	analysis/v53_matrix_semantic_contract/contract_audit_summary.json	21dfed44b3efa72b29017991af8b4f632c861882f73e1a125e0728c08d48c1c4	PASS	72 real checks pass; unsupported patient/temporal requests fail closed.
