gene	axis	class	expected_modality	direction	promotion_gate	priority_score	genetics_score	local_biology_score	druggability_score_manual	perturbation_score_manual	prior_art_penalty	explicit_exclusion_reason	target_level_signal	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	central_node_positive_disease_count	europepmc_hit_count	clinicaltrials_hit_count	chembl_activity_records	manual_target_level_note	manual_prior_art_risk	manual_blocker	gate_failures
PTPN2	TCPTP cytokine/TCR barrier-restoration brake	intracellular phosphatase	would need restoration/activation; inhibitors point in the wrong autoimmune direction	increase or restore TCPTP activity/function	NO_GO	4.75	3.5	2.0	0.75	2.5	4.0		defensible_future_coloc_ready_not_completed	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	4	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	1332	1	1279	broad local locus evidence plus cis-eQTL-ready, but local audit lacked paired summary stats for coloc	high	Autoimmune biology is loss-of-function/restoration; current drug discovery has stronger inhibitor precedent for oncology, which would be directionally unsafe for autoimmunity.	not druggable now for the required autoimmune direction; blocking or near-blocking prior art for autoimmune use
SH2B3	LNK hematopoietic cytokine/JAK-adaptor brake	intracellular adaptor	restore adaptor function or downstream pathway selection	increase/restore LNK negative-regulatory function	NO_GO	4.5	4.0	0.5	0.25	1.5	1.75		locus_broad_but_ambiguous	10	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	9	1	ulcerative colitis	0	0	1412	0	0	broadest local locus evidence, but 12q24 pleiotropy and no local target-level coloc/MR	medium	No direct drug modality; pleiotropic hematopoietic/platelet/cardiovascular locus makes autoimmune-specific targeting unclear.	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient
CLEC16A	CLEC16A mitophagy/autophagy quality-control	intracellular autophagy scaffold	indirect mitophagy/autophagy restoration	restore CLEC16A-linked mitophagy without broad autophagy toxicity	NO_GO	4.5	3.0	0.5	0.75	2.0	1.75		locus_broad_but_ambiguous	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0	1	Crohn disease	0	0	667	0	0	broad local locus evidence but 16p13 locus ambiguity with CIITA/DEXI/SOCS1	medium	No selective direct CLEC16A drug; locus ambiguity and indirect mitophagy modulators block target-level promotion.	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction
ATG16L1	autophagy/xenophagy epithelial-immune stress handling	intracellular autophagy scaffold	indirect autophagy modulation	restore autophagy/xenophagy in risk-variant carriers	NO_GO	4.25	4.0	0.0	0.5	2.0	2.25		locus_only_or_coloc_ready_not_run	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	8	0		0	0	723	0	0	broad local locus evidence, but target-level direction and disease tissue vary	medium_high	Autophagy pathway modulation is indirect and broad; no selective ATG16L1 target engagement package.	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction
OSMR	OSM/OSMR tissue inflammatory remodeling	cytokine receptor	anti-OSM/anti-OSMR biologic	block OSMR signaling in tissue-remodeling-high disease	NO_GO	4.25	2.5	0.5	2.0	1.5	2.25		locus_only_or_coloc_ready_not_run	4	AS;Crohn;Psoriasis;UC	4	1	psoriasis	0	0	597	0	0	local OT locus support reaches four diseases but prior V3 notes demoted OSMR as UC/IBD-heavy	medium_high	Existing OSM/OSMR inflammatory bowel/tissue-remodeling literature and limited cross-disease local biology block promotion.	target-level coloc/MR signal not established; real perturbation or strong model support is insufficient
GPR65	acidic tissue pH-sensing GPCR / cAMP brake	membrane GPCR	agonist or positive allosteric modulator	agonism/PAM if anti-inflammatory tissue-pH response is confirmed	NO_GO	3.75	2.75	-1.0	2.0	2.0	2.0		defensible_future_coloc_ready_not_completed	5	AS;Crohn;MS;Psoriasis;UC	2	1	Sjogren syndrome	2	0	302	0	99	locus plus cis-eQTL-ready; no local disease-by-eQTL coloc run	high	GPR65 autoimmune/IBD therapeutic use and GPR65 modulators already appear in public literature/patents; no clinical-stage autoimmune drug or biomarker-defined population delta found.	blocking or near-blocking prior art for autoimmune use
IRF5	TLR7/8/9-IRF5 inflammatory transcriptional switch	transcription factor	allosteric inhibitor or degrader	inhibit IRF5 activation in selected IRF5/TLR-high disease	NO_GO	3.5	4.0	0.0	2.0	2.5	5.0		defensible_future_coloc_ready_not_completed	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	0		0	0	3523	1	0	broad local locus evidence and cis-eQTL-ready; no local coloc/MR run	high	Emerging small-molecule/degrader programs and lupus preclinical prior art are already direct; route is also close to generic TLR/type-I-IFN biology.	blocking or near-blocking prior art for autoimmune use
CARD9	CARD9 innate fungal/NF-kappaB adaptor	intracellular adaptor	would need protein-interaction or downstream selective modulation	context-dependent; inhibit inflammatory CARD9 while preserving antifungal immunity	NO_GO	2.5	2.5	1.0	0.25	1.5	2.75		locus_only_or_coloc_ready_not_run	4	AS;Crohn;Psoriasis;UC	4	2	psoriasis;type 1 diabetes mellitus	0	0	1542	1	0	local locus support reaches four diseases, but target-level druggability is poor	medium	No direct druggability now and infectious-risk direction is unfavorable.	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient
IL10	IL-10 regulatory cytokine tolerance	secreted cytokine	recombinant/engineered IL-10 or IL10R agonism	increase regulatory IL-10 signaling in responder subset	NO_GO	2.375	3.875	0.0	2.5	2.0	6.0		locus_only_or_coloc_ready_not_run	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	7	0		0	0	92281	5	0	broad local locus evidence; secreted cytokine genetics does not define a new target-level autoimmune use	high	IL-10 therapy has direct autoimmune/IBD prior art; no new biomarker-defined cross-autoimmune delta found in local data.	target-level coloc/MR signal not established; blocking or near-blocking prior art for autoimmune use
TNFAIP3	A20 ubiquitin-editing NF-kappaB/TNF/TLR brake	intracellular ubiquitin-editing enzyme/scaffold	restore A20 function or mimic negative-feedback complex	increase/restore A20 function	NO_GO	2.125	3.875	0.75	0.5	2.0	5.0		locus_only_or_coloc_ready_not_run	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1	0	8401	1	0	broad local locus evidence; no usable local cis-eQTL instrument in Wave14 panel	high	Strong biology but direct restoration modality is not druggable now; broad NF-kappaB prior art and haploinsufficiency literature are crowded.	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; blocking or near-blocking prior art for autoimmune use
