axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes	placement_score
axis_01_ifn_apc	Crohn disease	near	supported	medium	V8_axis_01_ifn_apc_Crohn_disease_1;V8_axis_01_ifn_apc_Crohn_disease_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	2.0
axis_01_ifn_apc	Sjogren syndrome	near	supported	medium	V8_axis_01_ifn_apc_Sjogren_syndrome_1;V8_axis_01_ifn_apc_Sjogren_syndrome_2		salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	2.0
axis_01_ifn_apc	rheumatoid arthritis	far	supported	medium	V8_axis_01_ifn_apc_rheumatoid_arthritis_1;V8_axis_01_ifn_apc_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	0.0
axis_01_ifn_apc	ulcerative colitis	near	robust	high	V8_axis_01_ifn_apc_ulcerative_colitis_1;V8_axis_01_ifn_apc_ulcerative_colitis_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	2.0
axis_02_genetics	Crohn disease	intermediate	supported	medium	V8_axis_02_genetics_Crohn_LDSC_Yang2021;V8_axis_02_genetics_Crohn_disease		germline	genetic_correlation	medium	Verified LDSC source reports weaker MS-CD genetic correlation than MS-UC; placement is intermediate, not near. Proxy shared genes include: ANKRD55, BACH2, BATF, CD40, ELMO1, GALC, IFNGR2, IL12B	1.0
axis_02_genetics	Sjogren syndrome	far	provisional	low	V8_axis_02_genetics_Sjogren_syndrome		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: IRF5, STAT4	0.0
axis_02_genetics	rheumatoid arthritis	intermediate	provisional	low	V8_axis_02_genetics_rheumatoid_arthritis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, ELMO1, FCRL3, GATA3, IFNGR2, IL12B, IL2RA, INAVA, IRF5, JAK1	1.0
axis_02_genetics	ulcerative colitis	near	supported	medium	V8_axis_02_genetics_UC_LDSC_Yang2021;V8_axis_02_genetics_ulcerative_colitis		germline	genetic_correlation	medium	Verified LDSC source upgrades UC from target-overlap proxy to near supported on genetic architecture. Proxy shared genes include: BACH2, CD40, GALC, IFNGR2, IL12B, IL2RA, INAVA, IRF5	2.0
axis_03_microbiome	Crohn disease	near	provisional	medium	V8_axis_03_microbiome_Crohn_disease		gut microbiome	longitudinal	high	Near on gut microbial-immune axis, not proof that Crohn and MS share initiating causes.	2.0
axis_03_microbiome	Sjogren syndrome	intermediate	provisional	low	V8_axis_03_microbiome_Sjogren_syndrome		gut microbiome	literature_review	high	Evidence supports dysbiosis but not a well-resolved MS-shared microbial mechanism.	1.0
