row_key	check	status	detail
Contradiction readiness freshness linter||scripts/v48_contradiction_readiness_freshness_linter.py	present_in_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv
Contradiction readiness freshness linter||scripts/v48_contradiction_readiness_freshness_linter.py	field_matches.boundary	PASS	navigation=future-grounding control matrix=future-grounding control
Contradiction readiness freshness linter||scripts/v48_contradiction_readiness_freshness_linter.py	field_matches.purpose	PASS	navigation=Ensures contradiction readiness playbook counts and stages match the current matrix. matrix=Ensures contradiction readiness playbook counts and stages match the current matrix.
Contradiction readiness freshness linter||scripts/v48_contradiction_readiness_freshness_linter.py	field_matches.overall_status	PASS	navigation=PASS matrix=PASS
Contradiction readiness freshness linter||scripts/v48_contradiction_readiness_freshness_linter.py	failure_mode_mapped	PASS	external-verifiable ideas are treated as findings before grounding
Contradiction surveillance freshness linter||scripts/v48_contradiction_surveillance_freshness_linter.py	present_in_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv
Contradiction surveillance freshness linter||scripts/v48_contradiction_surveillance_freshness_linter.py	field_matches.boundary	PASS	navigation=future-grounding control matrix=future-grounding control
Contradiction surveillance freshness linter||scripts/v48_contradiction_surveillance_freshness_linter.py	field_matches.purpose	PASS	navigation=Ensures the contradiction surveillance checklist matches current matrix rows and high-priority sourcing plan rows. matrix=Ensures the contradiction surveillance checklist matches current matrix rows and high-priority sourcing plan rows.
Contradiction surveillance freshness linter||scripts/v48_contradiction_surveillance_freshness_linter.py	field_matches.overall_status	PASS	navigation=PASS matrix=PASS
Contradiction surveillance freshness linter||scripts/v48_contradiction_surveillance_freshness_linter.py	failure_mode_mapped	PASS	external-verifiable ideas are treated as findings before grounding
Contradiction-intake linter||scripts/v48_contradiction_intake_linter.py	present_in_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv
Contradiction-intake linter||scripts/v48_contradiction_intake_linter.py	field_matches.boundary	PASS	navigation=future-grounding control matrix=future-grounding control
Contradiction-intake linter||scripts/v48_contradiction_intake_linter.py	field_matches.purpose	PASS	navigation=Ensures future contradiction records remain queued for grounding. matrix=Ensures future contradiction records remain queued for grounding.
Contradiction-intake linter||scripts/v48_contradiction_intake_linter.py	field_matches.overall_status	PASS	navigation=PASS matrix=PASS
Contradiction-intake linter||scripts/v48_contradiction_intake_linter.py	failure_mode_mapped	PASS	external-verifiable ideas are treated as findings before grounding
Convergence executive-card freshness linter||scripts/v48_convergence_executive_card_freshness_linter.py	present_in_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv
Convergence executive-card freshness linter||scripts/v48_convergence_executive_card_freshness_linter.py	field_matches.boundary	PASS	navigation=synthesis coverage control matrix=synthesis coverage control
