source_api	query	id	pmid	pmcid	doi	title	journal	year	url
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	42189307	42189307	PMC13212822	10.1007/s12031-026-02548-3	Sex-Related Differences in Circular RNA Expression in Multiple Sclerosis: A Pilot Study.	J Mol Neurosci	2026	https://europepmc.org/article/MED/42189307
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	39287981	39287981	PMC11527446	10.1172/jci178949	Targeting aryl hydrocarbon receptor functionally restores tolerogenic dendritic cells derived from patients with multiple sclerosis.	J Clin Invest	2024	https://europepmc.org/article/MED/39287981
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	41466279	41466279	PMC12750885	10.1186/s12916-025-04512-1	Dimethyl itaconate suppresses dendritic cell and CD8&lt;sup&gt;+&lt;/sup&gt; T cell responses to halt vitiligo.	BMC Med	2025	https://europepmc.org/article/MED/41466279
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	42237169	42237169	PMC13288836	10.1186/s12974-026-03887-z	Single-cell analysis of skin and blood reveals systemic immune responses to ultraviolet B and their impairment in MS.	J Neuroinflammation	2026	https://europepmc.org/article/MED/42237169
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	41300779	41300779	PMC12652798	10.3390/genes16111327	Long Non-Coding RNAs in Multiple Sclerosis-Differential Expression and Functional Implications.	Genes (Basel)	2025	https://europepmc.org/article/MED/41300779
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	38591764	38591764	PMC11003271	10.1002/ctm2.1654	Clusterin deficiency is associated with a lack of response to teriflunomide in multiple sclerosis.	Clin Transl Med	2024	https://europepmc.org/article/MED/38591764
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	37436778	37436778	PMC10619685	10.1096/fj.202300573r	Therapy of autoimmune inflammation in sporadic amyotrophic lateral sclerosis: Dimethyl fumarate and H-151 downregulate inflammatory cytokines in the cGAS-STING pathway.	FASEB J	2023	https://europepmc.org/article/MED/37436778
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	41339376	41339376	PMC12695886	10.1038/s41467-025-65154-8	Longitudinal proteomic profiling of cerebrospinal fluid in untreated multiple sclerosis defines evolving disease biology.	Nat Commun	2025	https://europepmc.org/article/MED/41339376
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	40197365	40197365	PMC11981632	10.1172/jci.insight.184072	Lipid metabolism analysis reveals that DGAT1 regulates Th17 survival by controlling lipid peroxidation in uveitis.	JCI Insight	2025	https://europepmc.org/article/MED/40197365
Europe PMC	"dimethyl fumarate" "multiple sclerosis" "RNA-seq" PBMC response	41078003	41078003	PMC12591318	10.1002/1878-0261.70133	The IFNγ-CIITA-MHC II axis modulates melanoma cell susceptibility to NK-cell-mediated cytotoxicity.	Mol Oncol	2025	https://europepmc.org/article/MED/41078003
