request_id	matrix	required_capabilities	missing_capabilities	status
H1_transfer_entropy_directionality	perturbation_module_matrix	ordered_timepoints	ordered_timepoints	FAIL
H2_causal_identifiability_negative	workstream_b_module_dependencies	pairwise_dependency_summary	none	PASS
H3_hysteresis_treatment_response	treatment_pharmacodynamic_module_matrix	patient_level;within_subject_longitudinal;ordered_timepoints	patient_level;within_subject_longitudinal;ordered_timepoints	FAIL
H4_robustness_geometry_curvature	perturbation_module_matrix	causal_intervention_on_modules	causal_intervention_on_modules	FAIL
H5_counterfactual_transfer_cross_disease	cross_disease_summary_module_matrix	matched_rows_across_matrices	matched_rows_across_matrices	FAIL
H6_information_bottleneck_scalar	perturbation_module_matrix	matched_rows_across_matrices	matched_rows_across_matrices	FAIL
H7_negative_space_forbidden_edges	workstream_b_module_dependencies	pairwise_dependency_summary	none	PASS
H8_state_transition_bistability	cell_state_module_matrix	sample_level	sample_level	FAIL
CRL_2024_001_mutual_information_change	treatment_response_module_matrix	patient_level;within_subject_longitudinal	patient_level;within_subject_longitudinal	FAIL
CRL_2024_002_source_model	perturbation_module_matrix	context_level_module_effects	none	PASS
CRL_2024_002_target_test	treatment_pharmacodynamic_module_matrix	response_group_aggregate	none	PASS
CRL_2024_003_energy_basin	treatment_response_module_matrix	patient_level	patient_level	FAIL
CRL_2024_004_response_stratified_perturbation	perturbation_module_matrix	response_group_aggregate	response_group_aggregate	FAIL
CRL_2024_005_patient_state_classifier	treatment_response_module_matrix	patient_level	patient_level	FAIL
CRL_2024_006_causal_dag_comparison	perturbation_module_matrix	sample_level;causal_intervention_on_modules	sample_level;causal_intervention_on_modules	FAIL
CRL_2024_008_temporal_activation_order	treatment_response_module_matrix	ordered_timepoints	ordered_timepoints	FAIL
