row_key	check	status	detail
coverage_gaps||V37 uncovered priority rows	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
coverage_gaps||V37 uncovered priority rows	field_matches.section	PASS	expected=coverage_gaps observed=coverage_gaps
coverage_gaps||V37 uncovered priority rows	field_matches.metric	PASS	expected=V37 uncovered priority rows observed=V37 uncovered priority rows
coverage_gaps||V37 uncovered priority rows	field_matches.value	PASS	expected=20 observed=20
coverage_gaps||V37 uncovered priority rows	field_matches.boundary	PASS	expected=Sourcing priority is not validation or convergence. observed=Sourcing priority is not validation or convergence.
coverage_gaps||high-priority V37 sourcing gaps	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
coverage_gaps||high-priority V37 sourcing gaps	field_matches.section	PASS	expected=coverage_gaps observed=coverage_gaps
coverage_gaps||high-priority V37 sourcing gaps	field_matches.metric	PASS	expected=high-priority V37 sourcing gaps observed=high-priority V37 sourcing gaps
coverage_gaps||high-priority V37 sourcing gaps	field_matches.value	PASS	expected=11 observed=11
coverage_gaps||high-priority V37 sourcing gaps	field_matches.boundary	PASS	expected=Only same-definition external sources should be added. observed=Only same-definition external sources should be added.
governance||preflight checks	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
governance||preflight checks	field_matches.section	PASS	expected=governance observed=governance
governance||preflight checks	field_matches.metric	PASS	expected=preflight checks observed=preflight checks
governance||preflight checks	field_matches.value	PASS	expected=38 observed=38
governance||preflight checks	field_matches.boundary	PASS	expected=Preflight checks provenance/navigation controls only. observed=Preflight checks provenance/navigation controls only.
governance||preflight failures	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
governance||preflight failures	field_matches.section	PASS	expected=governance observed=governance
governance||preflight failures	field_matches.metric	PASS	expected=preflight failures observed=preflight failures
governance||preflight failures	field_matches.value	PASS	expected=0 observed=0
governance||preflight failures	field_matches.boundary	PASS	expected=Zero failures means the segregation controls passed. observed=Zero failures means the segregation controls passed.
relationship_counts||V48 matrix rows	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
relationship_counts||V48 matrix rows	field_matches.section	PASS	expected=relationship_counts observed=relationship_counts
relationship_counts||V48 matrix rows	field_matches.metric	PASS	expected=V48 matrix rows observed=V48 matrix rows
relationship_counts||V48 matrix rows	field_matches.value	PASS	expected=12 observed=12
relationship_counts||V48 matrix rows	field_matches.boundary	PASS	expected=External relationship rows are context, not evidence. observed=External relationship rows are context, not evidence.
relationship_counts||contradiction rows	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
relationship_counts||contradiction rows	field_matches.section	PASS	expected=relationship_counts observed=relationship_counts
relationship_counts||contradiction rows	field_matches.metric	PASS	expected=contradiction rows observed=contradiction rows
relationship_counts||contradiction rows	field_matches.value	PASS	expected=0 observed=0
relationship_counts||contradiction rows	field_matches.boundary	PASS	expected=Contradictions would flag future grounding, not override grounded findings. observed=Contradictions would flag future grounding, not override grounded findings.
relationship_counts||convergence rows	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
relationship_counts||convergence rows	field_matches.section	PASS	expected=relationship_counts observed=relationship_counts
relationship_counts||convergence rows	field_matches.metric	PASS	expected=convergence rows observed=convergence rows
relationship_counts||convergence rows	field_matches.value	PASS	expected=2 observed=2
relationship_counts||convergence rows	field_matches.boundary	PASS	expected=Convergence corroborates context; grounded artifacts remain evidence. observed=Convergence corroborates context; grounded artifacts remain evidence.
source_independence||decision canonical source clusters	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
source_independence||decision canonical source clusters	field_matches.section	PASS	expected=source_independence observed=source_independence
source_independence||decision canonical source clusters	field_matches.metric	PASS	expected=decision canonical source clusters observed=decision canonical source clusters
source_independence||decision canonical source clusters	field_matches.value	PASS	expected=1 observed=1
source_independence||decision canonical source clusters	field_matches.boundary	PASS	expected=Same canonical source cluster is not multiple independent corroborations. observed=Same canonical source cluster is not multiple independent corroborations.
source_independence||domains with convergence	metric_present_in_card	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_contradiction_executive_card_v48.tsv
source_independence||domains with convergence	field_matches.section	PASS	expected=source_independence observed=source_independence
source_independence||domains with convergence	field_matches.metric	PASS	expected=domains with convergence observed=domains with convergence
source_independence||domains with convergence	field_matches.value	PASS	expected=1 observed=1
source_independence||domains with convergence	field_matches.boundary	PASS	expected=Domain concentration limits external-source independence. observed=Domain concentration limits external-source independence.
summary	summary_matches.n_card_metrics	PASS	expected=9 observed=9
summary	summary_matches.n_decision_rows	PASS	expected=2 observed=2
summary	summary_matches.n_high_priority_gap_rows	PASS	expected=11 observed=11
summary	summary_matches.n_convergence_rows	PASS	expected=2 observed=2
summary	summary_matches.n_contradiction_rows	PASS	expected=0 observed=0
summary	summary_matches.n_decision_canonical_source_clusters	PASS	expected=1 observed=1
summary	summary_matches.governance_preflight_status	PASS	expected=PASS observed=PASS
