source	lineage	model	id	target_claim	fatal_weakness	why_it_matters	concrete_check	required_artifacts	would_change_verdict_if_supported	minimum_next_data	evidence_status
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ1	Pooled morphology association for OXPHOS/lysosomal is lesion-context-bounded but real, based on donor-wild p 0.0107/0.0108 and stable LODO directions.	The pooled morphology p-values are post-result sensitivities computed after the frozen orthogonal-context gate failed, and the max-endpoint adjustment (0.0114, 0.0518) only spans the two co-tested endpoints, not the full family of pooled sensitivities that were run after gate failure. This constitutes a researcher degree of freedom in family definition.	If the max-endpoint family is under-specified, the surviving OXPHOS/lysosomal signal could be a selection artifact of post-hoc pooling, and calling it a bounded association overstates evidence.	Enumerate every pooled morphology model actually fit after the transport gate failed (all module x adjustment-set combinations) and recompute a max-T across the full post-hoc family using the existing 300,000 donor-wild null draws on GSE279972; report adjusted p for OXPHOS and lysosomal against that full family.	GSE279972 foamy/nonfoamy matrix, donor IDs, lesion class, B/APC and resident-microglia covariates, MIMS de-overlap vector, the 300,000 donor-wild permutation index, and the analysis log listing every pooled model executed post-gate.	If full-family max-T keeps OXPHOS p<0.05, retain 'bounded association'; if it does not, downgrade wording to 'exploratory, not gate-passing.'	None new; requires the committed permutation index and a complete model-run manifest.	proposal_only_not_grounded
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ2	CD44/CXCR4 is inconclusive but same-direction across Amsterdam WM and UK GM in the Macnair 44-donor comparison.	Source-direction concordance is being treated as a supportive qualifier while the source x stage interaction is not reported. With HC3 CI -0.253 to 0.938 and perm p 0.279, the pooled estimate is compatible with a WM-only effect and a null GM effect, which would undermine 'same-direction' as evidence.	If concordance is driven by one tissue with the other near zero, the module description misleads readers about generalizability across CNS compartments.	Fit the committed Macnair model with a source x (SPMS-PPMS) interaction and report per-source standardized betas with HC3 CIs and the interaction permutation p under the same 300,000-null seed set; also report per-source LODO stability.	Macnair 44-donor microglia matrix, donor/source/stage labels, nuisance covariates already used, and the frozen permutation seeds.	If per-source betas are similar in magnitude and sign, retain 'same-direction, inconclusive'; if one source is near zero or opposite, replace wording with 'pooled direction driven by [source]; other source null.'	None new.	proposal_only_not_grounded
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ3	CD44/CXCR4 is 3/3 higher at chronic-active edges in GSE180759.	Three paired donors cannot support any inferential statement; 3/3 has an exact one-sided sign-test p of 0.125 and no adjustment for the five modules tested. Reporting the 3/3 count next to null morphology results implies asymmetric evidential weight where none exists.	The 3/3 line is likely to be quoted as corroboration for CD44/CXCR4 despite being underpowered and unadjusted, keeping a candidate alive that the frozen gates already failed.	Attach the exact sign-test p and a family-wise adjusted p across the five pre-existing modules for the paired edge design in GSE180759, and label the 3/3 statement as descriptive only in the results text.	GSE180759 paired edge counts per module (already computed) and the module family definition.	Confirms that 3/3 cannot upgrade CD44/CXCR4 beyond 'inconclusive'; forces removal of any implied corroboration.	None new.	proposal_only_not_grounded
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ4	CNS-versus-peripheral localization is not identifiable, and no peripheral null was computed.	GSE228330 has a Fisher p 0.01698 confound between subtype and deposited activity suffix, but the claim 'no peripheral test was run' leaves open whether a bounded, confound-declared descriptive test on the 15 samples would still be informative or misleading. Silence here is a researcher degree of freedom: a future reader could run it opportunistically.	Either the peripheral arm should be formally closed with a documented non-identifiability decision, or a bounded descriptive analysis with the confound annotated should be pre-registered, to prevent selective later reporting.	Add a written non-identifiability closure to the acquisition contract naming GSE228330 (missing subject map, processed matrix, batch, age, composition, disability; subtype-suffix Fisher p 0.01698) as fail-closed for peripheral inference, and require any future peripheral test to be pre-declared.	The 64-field acquisition contract and P1/P2/P3 validator; GSE228330 metadata inventory.	Locks peripheral localization as closed rather than merely 'not run,' removing a latent degree of freedom.	None new; contract amendment only.	proposal_only_not_grounded
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ5	The synthetic power grid establishes that null FPR is 0.043 median / 0.060 max and that 7/24 non-null scenarios reach 80% power; OR 1.25/1.5 do not at n=240.	The max null FPR of 0.060 exceeds the nominal 0.05 and is being reported without stating what the intended nominal level was or whether the ceiling is acceptable for the fail-closed validator. Additionally, 'under explicit assumptions' is not quantified in the summary, leaving the effect-size scale (standardized beta vs OR) ambiguous for downstream MS design choices.	If the validator's nominal alpha is 0.05, a 0.060 tail is an anti-conservative regime that should either be bounded or corrected before it is used as evidence that the acquisition design is adequately calibrated.	Report the full null FPR distribution across the 288,000 cohorts (quantiles 0.5/0.9/0.95/0.99 and max) per seed, state the nominal alpha, and either (a) apply a calibration correction so max <= nominal, or (b) declare the tolerated ceiling in the contract.	The synthetic power grid output tables, seed-level FPR arrays, and the acquisition contract's stated alpha.	If max FPR is brought to <= nominal or a ceiling is formally accepted, retain the design claim; otherwise weaken to 'calibration not yet achieved.'	None new.	proposal_only_not_grounded
claude	Anthropic Claude	anthropic--claude-4.7-opus	OBJ6	0/9 pre-existing candidate states pass the progression-specific first gate and no target closure changed.	The V53 held context reports 24 perturbation signatures, 0 replicated selective control nodes, 0 additive-pair passes, and 0 consensus causal edges over ten skeleton variants, but the summary does not state the pre-specified pass thresholds for each of these four criteria. Without those thresholds in writing, 'zero passes' cannot be distinguished from 'no threshold was set,' which is a hidden degree of freedom for future re-scoring.	If thresholds were set post hoc, the 0/9 conclusion is not falsifiable and future analyses could quietly relax them.	Freeze and publish, in the acquisition contract, the numeric pass thresholds for (i) replicated selective control node count, (ii) corrected additive-pair prioritization, (iii) consensus causal-edge orientation across the ten skeleton variants, and (iv) the progression-specific first gate itself; then re-report 0/9 against those frozen thresholds.	V53 held-context perturbation outputs, skeleton-variant edge tables, and the acquisition contract text.	Retains 0/9 as a falsifiable, pre-registered result rather than a summary statistic; no change to closure verdict, but removes a degree of freedom.	None new; contract amendment plus re-report.	proposal_only_not_grounded
gemini	Google Gemini	gemini-2.5-pro	STATIC_PROGRESSION_LEAP	The collective evidence from cross-sectional comparisons (PPMS vs. SPMS, active vs. inactive lesions) provides insight into MS progression.	The study design assumes, without empirical support from the held data, that the compared static biological states can be ordered into a valid temporal sequence representing disease progression. Differences could instead reflect stable, parallel disease subtypes rather than stages of a single process.	This inferential leap is the central weakness of the entire project. If the static states do not represent a time-ordered sequence, then the observed molecular differences are not markers of 'progression' or 'flux', undermining the core relevance of all findings.	Perform a pseudo-time trajectory analysis on the combined single-cell microglia data from the Macnair and GSE279972 studies. After constructing the trajectory, color the cells by their discrete source labels (e.g., PPMS, SPMS, foamy, active edge) and assess whether the labels align in a biologically plausible and monotonic progression sequence.	Cell-level expression matrices and metadata from the Macnair and GSE279972 studies.	If the labels are intermingled or do not form a coherent sequence along the trajectory, it would provide direct evidence against the assumption that these static states can serve as a proxy for temporal progression.	None. This check is executable on the committed held data.	proposal_only_not_grounded
gemini	Google Gemini	gemini-2.5-pro	PM_INTERACTION_FAILURE	The postmortem microglia comparison (PPMS vs. SPMS) yielded a null result for all modules after being 'nuisance and source controlled'.	The analysis treated tissue source (Amsterdam white matter vs. UK grey matter) as a nuisance variable to be adjusted for, rather than a primary biological context. The finding that 3 of 5 modules showed direction-discordant effects between sources is strong evidence of a source-by-disease-stage interaction, which is masked by a simple adjustment model.	Averaging across opposing effects in different brain regions can create a false null result. The key finding may not be 'no difference' but rather that disease stage manifests differently in grey versus white matter, a biologically significant conclusion that was missed.	For the three direction-discordant modules (HLA, MIF, lysosomal), re-fit the differential expression model to include a formal interaction term: `module_score ~ disease_stage * tissue_source + other_covariates`. The primary endpoint of this check is the significance of the interaction term.	The Macnair study expression matrix, calculated module scores, and metadata for disease stage and tissue source.	If a significant interaction is found, the verdict would change from 'null result' to 'evidence of context-dependent effects of progressive MS stage,' which is a positive finding of biological heterogeneity.	None. This check is executable on the committed held data.	proposal_only_not_grounded
gemini	Google Gemini	gemini-2.5-pro	MORPH_LODO_CONFUSION	The pooled morphology associations (OXPHOS, lysosomal) are robust, as demonstrated by the stability of effect directions in all 21 leave-one-donor-out (LODO) models.	LODO stability is only a meaningful robustness check if donors are not systematically confounded with other key variables. If specific donors contribute samples primarily from one lesion class (e.g., class 2 or class 3), then LODO stability does not protect against confounding by lesion class, which is the exact variable that caused the transport gate to fail.	This presents a potentially misleading picture of the finding's robustness. It masks the possibility that the pooled association is an artifact of confounding between donor and lesion class, rather than a generalizable biological effect.	Construct a contingency table of the 21 donor IDs versus the lesion class (class 2 vs. class 3) for all samples in GSE279972. Perform a Fisher's exact test to assess the independence of donor and lesion class.	The sample-to-donor and sample-to-lesion-class mapping for the GSE279972 dataset.	If donor and lesion class are significantly associated, the LODO stability claim would be re-classified as uninformative, and the pooled result would be considered highly likely to be an artifact of confounding.	None. This check is executable on the committed held data.	proposal_only_not_grounded
gemini	Google Gemini	gemini-2.5-pro	INTERACTION_MODEL_INSTABILITY	The direct lesion-class-3-versus-class-2 interactions for morphology effects are null, contributing to the 'unresolved transport' conclusion.	The evidence summary notes that the LODO signs for the interaction term were 'unstable'. An interaction estimate that flips sign upon removal of single donors is not a reliable null; it is the signature of a misspecified model or a finding driven by a few highly influential data points. Averaging these unstable effects to a non-significant p-value is misleading.	This suggests the model for transportability is fundamentally flawed. The 'unresolved transport' is not merely a lack of precision but a failure to model profound heterogeneity, possibly at the donor level. This invalidates interpreting the pooled main effect, as its meaning is conditional on an interaction that is poorly characterized.	For the `morphology * lesion_class` interaction model in GSE279972, calculate per-donor DFBETAS for the interaction term. Identify any donors whose removal causes a sign change or a change in the coefficient larger than its standard error.	The GSE279972 expression matrix, module scores, and metadata for donor, morphology, and lesion class.	If one or two influential donors are identified as driving the instability, the verdict would change from 'null interaction' to 'evidence of idiosyncratic, donor-specific interactions,' invalidating the pooled model and its conclusions.	None. This check is executable on the committed held data.	proposal_only_not_grounded
