query	nct_id	brief_title	overall_status	conditions	phases
NAMPT	NCT06729905	Study of the Effects of Yerba Mate on Cardiometabolic Health	COMPLETED	Cardiovascular Risk; Hypercholerolemia	NA
NAMPT	NCT06746441	Effect of Psilocybin Only and Psilocybin Assisted Cognitive Behavioral Therapy in the Management of Major Depressive Disorder and Associated Metabolic, Immune, Inflammatory, Neuroplasticity and Electrical Activity Markers	COMPLETED	Major Depressive Disorder	PHASE2
NAMPT	NCT06127511	Peanut Consumption on Cognitive, Weight, and Inflammation	RECRUITING	Cognitive Performance; Inflammation; Weight Change, Body; Adolescents	NA
NAMPT	NCT06275906	Influence of a Mediterranean Diet Combined With a Physical Activity Intervention, on NAFLD and Inflammation Parameters.	COMPLETED	NAFLD; Obesity; IBS	NA
NAMPT	NCT01293175	Whole Grain Polyphenol Bioavailability and Effects on Health	COMPLETED	Overweight	NA
NAMPT	NCT02660905	HIV Drug Switch Followed by HCV Therapy in HIV-HCV Co-Infection	COMPLETED	Human Immunodeficiency Virus; Hepatitis C, Chronic	PHASE3
NAMPT	NCT03258307	Comparison of Perilipin, Leptin, Adipolipin, Adiponectin, Resistin, Visfatin, Estrone Levels Pre-post Omentectomy	COMPLETED	Gynecologic Cancer	NA
NAMPT	NCT04763707	Serum Visfatin and Serum Vaspin in Patients With Hepatocellular Carcinoma on Top of Liver Cirrhosis	COMPLETED	Hepatocellular Carcinoma	NA
NAMPT	NCT01223196	Effect of Pioglitazone on TIMP-3 and TACE in Type 2 Diabetes	COMPLETED	Type 2 Diabetes	PHASE4
NAMPT	NCT05746013	Lipoproteins and ImmunoMetabolism	UNKNOWN	Obesity; Metabolic Syndrome; Metabolism Disorder; Inflammation; Immune System and Related Disorders	NA
NAMPT	NCT05114772	Pre Procedural Biomarkers Might Predict Recurrent Atrial Fibrillation After Catheter Ablation	COMPLETED	Atrial Fibrillation	NA
NAMPT	NCT03495128	Metabolic and Muscular Adaptations During Inactivity in 3 Days of Bed-rest	COMPLETED	Muscle Atrophy; Insulin Sensitivity	NA
NAMPT	NCT00607945	Dietary Fatty Acids As Complementary Therapy in Type 2 Diabetes Mellitus	COMPLETED	Type 2 Diabetes Mellitus	PHASE1
NAMPT	NCT02728570	Effect of Dietary Flavonoids on Intestinal Microbiota, Intestinal Inflammation and Metabolic Syndrome	COMPLETED	Metabolic Syndrome X; Inflammation	NA
NAMPT	NCT06314932	Role of Ultra-processed Foods in Modulating the Effect of Mediterranean Diet	UNKNOWN	Overweight	NA
NAMPT	NCT05192603	Comparison Between Low FODMAP and SSRD in IBS	ENROLLING_BY_INVITATION	IBS - Irritable Bowel Syndrome	NA
NAMPT	NCT03814473	Paleo Diet 8wk Feasibility in Overweight Adults	COMPLETED	Overweight and Obesity	NA
NAMPT	NCT04282005	Metabolic Surgery for Steato-Hepatitis	UNKNOWN	Non-alcoholic Fatty Liver Disease (NAFLD); Non-Alcoholic Steato-Hepatitis (NASH)	NA
NAMPT	NCT06487286	Levels of Visfatin/NAMPT in Human Milk	RECRUITING	Visfatin Levels in Maternal Milk Samples; Birth Weight	NA
NAMPT	NCT01400724	Inofolic NRT and the Metabolic Syndrome	COMPLETED	Metabolic Syndrome; Postmenopausal Disorder	NA
NAMPT	NCT01997203	Long Term Vitamin D Therapy in HCV Treated Patients	TERMINATED	Chronic Hepatitis C	PHASE3
NAMPT	NCT00939679	Effect of Gastric Bypass Surgery on Energy Metabolism	COMPLETED	Obesity	NA
NAMPT	NCT07098299	Metformin Combined With Chemotherapy and/or Immunotherapy in Solid Malignancies	RECRUITING	Advanced Solid Tumor	PHASE1
NAMPT	NCT03932110	Metabolic Syndrome in Psoriasis and Psoriatic Arthritis and Correlation With Serum Omentin and Visfatin Levels	COMPLETED	Psoriasis Vulgaris; Psoriatic Arthritis; Metabolic Syndrome	NA
NAMPT	NCT04328233	Impact of Time-Restricted Eating on Metabolic Homeostasis, Inflammation and Oxidative Stress in Metabolic Syndrome	UNKNOWN	Metabolic Syndrome; Overweight or Obesity; PreDiabetes; Weight Loss; Quality of Life	NA
NAMPT	NCT01290250	Evaluation of a New Orange-Based Beverage Enriched With Polyphenols in Adult Humans	COMPLETED	Overweight; Obesity	NA
NAMPT	NCT03967730	Sonodynamic Therapy in the Treatment of Perivascular Adipose Tissue on Patients With PAD and Claudication	WITHDRAWN	Peripheral Arterial Disease	PHASE1; PHASE2
NAMPT	NCT01147523	Effect of Spironolactone and Vitamin E in Patients With Nonalcoholic Fatty Liver Disease	COMPLETED	Fatty Liver; Steatohepatitis	PHASE2
NAMPT	NCT05758311	The Project ATA: Adipose Tissue & Adipokines	UNKNOWN	Sedentary Behavior; Overweight; Obesity	NA
NAMPT	NCT00495599	Adipose Secretory Function in Patients Before & After Laparoscopic Surgery	COMPLETED	Obesity	PHASE3
NAMPT	NCT01664650	Effects of Genistein in Postmenopausal Women With Metabolic Syndrome	COMPLETED	Metabolic Syndrome	PHASE2; PHASE3
