candidate	source_artifact	access_state	living_participants	verified_subject_map	repeated_molecular	repeated_disability_components	documented_cdp_or_pira	relapse_steroid_treatment_context	paired_cns_or_csf_and_blood	direct_composition_measurement	progression_association_gate_passed	selective_multidonor_functional_perturbation	safe_current_use	primary_blocker	next_action	P1_status	P2_status	P3_status
Gafson 2018 DMF PBMC package	docs/validation/GAFSON_DATA_REQUEST_V36.md	external package not held	yes	unknown	expected_unverified	no	no	partial_requested	no	unknown	no	no	frozen V22/V42 NEDA-4 monitoring validation if received	NEDA-4 response is not repeated disability progression	retain monitoring route; request raw repeated disability only if collected	not_eligible	not_eligible	not_eligible
Karolinska DMF ROS GSE130478/GSE130491	docs/validation/KAROLINSKA_DMF_LABEL_REQUEST_V45.md	public omics; labels/map requested	yes	no	nominal_unverified	no	no	partial_requested	no	partial_cell_sorted	no	no	secondary late-time DMF monitoring stress test if labels/map arrive	beneficial response is not repeated disability progression	retain secondary monitoring request; add disability fields only if collected	not_eligible	not_eligible	not_eligible
GSE228330 ocrelizumab PBMC	docs/validation/GSE228330_OUTCOME_SCOUT_V45.md	public expression; critical metadata absent	yes	no	nominal_unverified	no	no	no	no	no	no	no	unpaired pharmacodynamic context after metadata repair	no verified map or disability/outcome labels	send prepared 29-field addendum; remain context-only unless all gates pass	not_eligible	not_eligible	not_eligible
GSE24427 longitudinal IFN-beta blood	analysis/v54_transition_identifiability/transition_identifiability.tsv	held	yes	yes	yes	no	no	partial_relapse_only	no	no	no	no	IFN-beta pharmacodynamic and relapse context	baseline EDSS only; relapse follow-up is not disability accumulation	do not repurpose as progression; ask source only if repeated disability exists off-record	not_eligible	not_eligible	not_eligible
Macnair postmortem microglia discovery/validation	analysis/v54_progression_data_inventory/progression_data_inventory.tsv	held	no	yes	no	no	no	no	no	microglia_pseudobulk_only	no	no	source-balanced cross-sectional stage context	one postmortem timepoint and no disability trajectory	no progression reuse; retain bounded stage context	not_eligible	not_eligible	not_eligible
GSE180759 chronic-active lesion snRNA-seq	analysis/v54_progression_data_inventory/progression_data_inventory.tsv	held	no	yes	no	no	no	no	no	single_nucleus_counts	no	no	small-donor lesion-state context	same-death pathology contexts are not longitudinal progression	retain pathology context only	not_eligible	not_eligible	not_eligible
GSE279972 lesion morphology bulk RNA-seq	analysis/v54_progression_data_inventory/progression_data_inventory.tsv	held	no	yes	no	no	no	no	no	no	no	no	exploratory donor-aware morphology context	no clinical time, subtype trajectory, or measured composition	retain downgraded morphology context only	not_eligible	not_eligible	not_eligible
GSE111972/GSE301908 microglia state cohorts	analysis/v54_progression_data_inventory/progression_data_inventory.tsv	held	no	yes	no	no	no	no	no	microglia_only	no	no	MS-versus-control microglial state context	not progression-specific and no longitudinal outcome	do not promote disease-state replication to progression	not_eligible	not_eligible	not_eligible
GSE17410 MS pregnancy PBMC	analysis/v54_transition_identifiability/transition_identifiability.tsv	held	yes	partial	partial	no	no	partial	no	no	no	no	pregnancy-state natural-experiment context	pregnancy timing is not progression and disability is absent	retain pregnancy context only	not_eligible	not_eligible	not_eligible
Held pre/post-ocrelizumab MS microbiome	analysis/v54_transition_identifiability/transition_identifiability.tsv	held	yes	yes	wrong_modality	no	no	partial_treatment	no	not_applicable	no	no	treatment-associated microbiome context	wrong modality and no disability outcome	do not repurpose as molecular progression cohort	not_eligible	not_eligible	not_eligible
