gene	proxy_call	decision_reason	primary_blocker	genetics_ready_score	module_state_score	perturbation_score	modality_penalty	proper_coloc_or_mr_feasible_this_run	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	gwas_catalog_trait_count	gwas_catalog_min_p	gtex_n_relevant_tissues_with_significant_cis_eqtl	gtex_relevant_tissues_with_significant_cis_eqtl	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_positive_nominal	strict_core_covariate_surviving_disease_count	non_ibd_retained_positive_disease_count	residual_gate_priority_score	geneformer_support_contexts	foundation_real_perturbation_alignment_call	foundation_rescue_recommendation	direct_perturbation_support_binary	perturbation_contradicted_or_do_not_promote	wave23_route_calls	wave23_restoration_call	wave23_restoration_reason	wave23_metabolite_calls	wave24_l1000_target_rows	coloc_mr_blocker	mechanism_note	overall_proxy_score
PTPN2	COLOC_NEEDED_NOT_CLAIMABLE	Broad locus/eQTL/module evidence exists, but target-resolved coloc/MR was not run and local inputs are not SNP-level causal evidence.	no_target_resolved_coloc_or_mr	9.0	5.0	3.0	1.0	False	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	4	22	8.000000000000001e-28	3	Spleen;Thyroid;Cells_Cultured_fibroblasts	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.0059418057306839	0.9843569990044077	False	0	2	7.0	5	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	1	False	PARK_REVIEW	NO_GO	correct direction is restoration, but no current target-selective modality can restore TCPTP in the relevant compartments.		0	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; autoimmune therapeutic direction is restoration/activation, not straightforward inhibition	negative JAK/STAT phosphatase; broad autoimmune locus evidence but therapeutic direction is restoration, not inhibition	16.0
SEC61A1	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	2.8	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-0.0775050827248335	0.5742291621491669	False	1	1	8.0	4	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	1	False					0			7.8
TMSB10	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	2.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1355995347879997	0.2921719507155929	False	0	2	7.0	4	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	1	False					0			7.8
IL15	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	6.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1957614008388182	0.1225512579945805	False	0	2	6.0	0			0	False					0			6.0
NLRC5	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.5	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1754720644354748	0.4867392295596717	False	0	1	5.0	0			0	False					0			5.5
POMP	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.5	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.0430089608388559	0.762824900529835	False	0	1	4.0	0			0	False					0			5.5
PPIA	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.5	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0798111319015699	0.5869705544995741	False	0	1	3.0	0			0	False					0			5.5
PSME2	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.5	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2525338557141818	0.4970034386143676	False	0	1	4.0	0			0	False					0			5.5
HLA-DRB1	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.2	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.5468677387854282	0.057765674762618	False	0	2	8.0	1	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	0	False					0			5.2
CARD16	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.427054014710313	0.494819097605486	False	0	0	2.0	0			0	False					0			5.0
CD82	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.5036946542270737	0.1728910748647989	False	0	0	1.0	0			0	False					0			5.0
EEF1E1	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-1.1784102252943471	0.2145941794042359	False	0	0	2.0	0			0	False					0			5.0
FAM136A	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.3296785879844943	0.3541914497691751	False	0	0	0.0	0			0	False					0			5.0
LRRC59	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0422703381969409	0.8419061527165945	False	0	0	1.0	0			0	False					0			5.0
TMEM167A	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	Cell-state/module evidence is stronger than genetics; cannot anchor target causality.	no_target_resolved_coloc_or_mr	0.0	5.0	0.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.0593616890394788	0.7752687424411747	False	0	0	1.0	0			0	False					0			5.0
TNFAIP3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	8.0	2.0	-1.6	1.0	False	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	11	2.9999999999999996e-84	0		3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.328353196360478	0.3606610619177491	False	0	0	0.0	2	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True	NO_GO	NO_GO	strong restoration biology but no current target-selective A20 restoration modality.		0	broad disease locus evidence exists but is not target-level causal evidence; no significant GTEx cis-eQTL detected in queried relevant tissues; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; target-level direction likely requires restoration of A20 function, not simple antagonism	A20 NF-kB/TNF/TLR brake; strong autoimmune locus evidence but difficult restoration target	7.4
CD74	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	1.0	4.0	2.4	0.0	False	0		0	0		1	Colon_Sigmoid	4	1	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.2553907019006836	0.2187160729350419	False	0	2	8.0	2	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	1	False	NO_GO				0	no disease genetic locus evidence in supplied OT credible-set rows; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; candidate is close to HLA-II state biology but lacks target-level disease genetics	HLA-II invariant chain/MIF receptor-state marker; no current target-level autoimmune genetics signal	7.4
CBX3	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	7.5	-1.2	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.3505111291715241	0.0165873089490037	True	1	2	16.0	4	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			6.3
SQLE	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	7.5	-1.4	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.3408177110309154	0.3307572199460259	False	2	1	19.0	3	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			6.1
