action_id	action_type	priority	item	source_artifact	input_rows	next_step	boundary
V48_HO_001	run_targeted_source_search	high	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_002	run_targeted_source_search	high	UC genetics vs treatment-response layer split	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_003	run_targeted_source_search	high	First-principles druggability discipline changed target interpretation	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	1 query rows; targets=PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_004	run_targeted_source_search	high	Locked V7 general cross-disease baseline fallback killed	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_005	run_targeted_source_search	high	Tool-robust but simple V22 scalar	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	1 query rows; targets=PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_006	run_targeted_source_search	high	Crohn downstream IFN/APC convergence exceeds genetic proximity	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_007	run_targeted_source_search	high	RA pregnancy comparator but blood APC treatment-response nontransfer	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_008	run_targeted_source_search	high	EBV/IFN APC imprint downgraded by specificity control	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_009	run_targeted_source_search	high	GPR25 demoted from protected favorite	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GWAS/QTL catalogs;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_010	run_targeted_source_search	high	MHC overlap is distinct-signal, not simple shared biology	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GWAS/QTL catalogs;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
