source	label	genes	source_call	source_score	local_breadth	state_coupling	ms_anchor	genetics_breadth	druggability_note	manual_prior_risk	blocker	gate_failures	meta_status	meta_reason	missing_tests	is_reopen_only	is_promotable_now	excluded_by_wave46_or_prior_core	minimum_reopen_condition
wave34a_genetics_first_target_rescue	PTPN22	PTPN22	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	10.925	1.0		True	0.0	small-molecule inhibitor/allosteric modulator concept	medium_high	Genetic signal survives triage but direction/modality is not clean enough for promotion.; Very broad autoimmune genetics, but disease-safe direction and selectivity over other PTPs remain unresolved.		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	True	False	False	Must satisfy all listed missing tests before any target claim: correct_direction_modality, direction_resolution, target_resolved_coloc_or_mr
wave39_surfaceome_rescue	FXYD5	FXYD5	PARK_ONLY_IF_NEW_PERTURBATION	10.5	4.0		False		Basolateral cell membrane;Cell membrane		; ; ; directional_negative_disease_signal; reachable protein class by UniProt location/features; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; NaK_ATPase_regulator_direction_not_autoimmune_specific; breadth_or_MS_anchor_below_promotion_gate; no_ChEMBL_activity_or_defined_antibody_modality_in_local_scan; no_strict_core_covariate_residual_survival; same_gene_has_negative_disease_or_compartment_signal; single_negative_Crohn_signal_conflicts_with_cross_disease_direction		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	correct_direction_modality;direction_resolution	True	False	False	Must satisfy all listed missing tests before any target claim: correct_direction_modality, direction_resolution
wave34a_genetics_first_target_rescue	FAP	FAP	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	10.2125	2.0		False	0.0	enzyme inhibitor, antibody, or targeted delivery handle	medium	Genetic signal survives triage but direction/modality is not clean enough for promotion.; Druggable stromal gene with GWAS Catalog breadth, but likely locus-proxy/tissue-remodeling rather than target-level immune causality.		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	correct_direction_modality;direction_resolution;disease_relevant_perturbation;target_resolved_coloc_or_mr	True	False	False	Must satisfy all listed missing tests before any target claim: correct_direction_modality, direction_resolution, disease_relevant_perturbation, target_resolved_coloc_or_mr
wave34a_genetics_first_target_rescue	GPR65	GPR65	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH	9.525	1.0		False	5.0	agonist/PAM	high	Genetic signal is plausible but local expression/state support is contradictory.; Previously parked; GPCR tractable but IBD/GPR65 prior art and weak local support remain.	NO_GO_TARGET_FIRST	REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	prior_art_or_trial_delta;target_resolved_coloc_or_mr	True	False	False	Must satisfy all listed missing tests before any target claim: prior_art_or_trial_delta, target_resolved_coloc_or_mr
wave34a_genetics_first_target_rescue	CCR6	CCR6	PARK_MAPPED_GENE_NEEDS_COLOC	8.45	0.0		False	0.0	CCR6 antagonist or anti-CCR6 biologic	high	Broad GWAS Catalog support is mapped-gene/top-association only; needs credible-set/eQTL coloc.; Broad mapped-gene signal but crowded Th17/trafficking biology and no coloc-grade local support.		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	prior_art_or_trial_delta;target_resolved_coloc_or_mr	True	False	False	Must satisfy all listed missing tests before any target claim: prior_art_or_trial_delta, target_resolved_coloc_or_mr
wave32_resolution_rescue	TREM2_APOE_LIPID_REPAIR	TREM2;APOE;TYROBP;LPL	PARK_RESOLUTION_BIOLOGY_NO_CAUSAL_ANCHOR	4.4625	4.0	5.0	True	0.0	TREM2 agonist antibody precedent; APOE/LPL are not direct autoimmune targets	high	TREM2 agonism is crowded in neurodegeneration and local cross-autoimmune support is marker/confounder dominated rather than target-causal.	state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	True	False	False	Must satisfy all listed missing tests before any target claim: disease_relevant_perturbation, prior_art_or_trial_delta, target_resolved_coloc_or_mr
wave28_target_first_rescue	SQLE	SQLE	PARK_REQUIRES_TARGET_CAUSALITY_OR_PERTURBATION	4.25			False						REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
wave23_genetics_restoration_modality	GPR65	GPR65	PARK	3.517			False				; 		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
wave23_genetics_restoration_modality	IL10	IL10	PARK	2.833			False				; 		REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
wave23_treatment_response_stratification	GSE138746:anti-TNF:ifn_apc		PARK	0.9132196701158988			False		adalimumab/etanercept	treatment_response_dataset_only	nominal baseline association only; generic_inflammation_module_not_stratum_specific	baseline association must survive multiplicity and generic-inflammation residual checks	REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
wave23_treatment_response_stratification	GSE183047:IL-17/IL-23:lysosomal_apc		PARK	0.0			False		secukinumab	treatment_response_dataset_only	post-treatment-only signal; cannot support baseline patient stratification	baseline association must survive multiplicity and generic-inflammation residual checks	REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
wave23_treatment_response_stratification	GSE171012:IL-17/IL-23:		PARK	0.0			False		secukinumab	treatment_response_dataset_only	public_metadata_pd_only_not_analyzed	baseline association must survive multiplicity and generic-inflammation residual checks	REOPEN_WITH_NEW_TEST_ONLY	parked route with a specific missing evidence package	unspecified_validation	True	False	False	Must satisfy all listed missing tests before any target claim: unspecified_validation
