evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_01_ifn_apc_Crohn_disease_1	axis_01_ifn_apc	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.412; hedges_g=2.115; support=supportive	module=mixscale_validated_ifng_readout; p=0.003892; fdr=0.05254; supportive	0.0038917843	axis-local FDR=0.052539088	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Crohn_disease_2	axis_01_ifn_apc	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.5851; hedges_g=2.087; support=supportive	module=ifn_apc; p=0.004432; fdr=0.05631; supportive	0.0044315758	axis-local FDR=0.056307081	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Graves_disease_1	axis_01_ifn_apc	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.7164; hedges_g=0.9839; support=positive_null	module=mif_cd74_receptor_state; p=0.1937; fdr=0.2811; positive_null	0.1936958	axis-local FDR=0.28111332	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Graves_disease_2	axis_01_ifn_apc	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.6931; hedges_g=0.9501; support=positive_null	module=hla_ii_apc; p=0.2041; fdr=0.2811; positive_null	0.20414593	axis-local FDR=0.28111332	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Hashimoto_thyroiditis_1	axis_01_ifn_apc	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=1.699; hedges_g=30.19; support=strong	module=hla_ii_apc; p=0.00537; fdr=0.02197; strong	0.0053697946	axis-local FDR=0.021969024	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Hashimoto_thyroiditis_2	axis_01_ifn_apc	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=0.9333; hedges_g=19.69; support=strong	module=mixscale_validated_ifng_readout; p=5.839e-05; fdr=0.001693; strong	5.8387337e-05	axis-local FDR=0.0016932328	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Sjogren_syndrome_1	axis_01_ifn_apc	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=0.207; hedges_g=1.075; support=supportive	module=mif_cd74_receptor_state; p=0.02069; fdr=0.09136; supportive	0.020693109	axis-local FDR=0.091358507	case=11; control=14	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Sjogren_syndrome_2	axis_01_ifn_apc	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=0.2037; hedges_g=1.034; support=supportive	module=hla_ii_apc; p=0.02064; fdr=0.09136; supportive	0.020643228	axis-local FDR=0.091358507	case=11; control=14	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_celiac_disease_1	axis_01_ifn_apc	celiac disease	epithelial_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.4732; hedges_g=2.091; support=trend	module=mif_cd74_receptor_state; p=0.01644; fdr=0.74; trend	0.016444841	axis-local FDR=0.74001785	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_celiac_disease_2	axis_01_ifn_apc	celiac disease	epithelial_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.5197; hedges_g=1.724; support=trend	module=hla_ii_apc; p=0.02793; fdr=0.7809; trend	0.027932363	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_multiple_sclerosis_1	axis_01_ifn_apc	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.6141; hedges_g=1.341; support=strong	module=mif_cd74_receptor_state; p=0.005473; fdr=0.01916; strong	0.0054734192	axis-local FDR=0.019156967	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_multiple_sclerosis_2	axis_01_ifn_apc	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.219; hedges_g=0.4583; support=positive_null	module=ifn_apc; p=0.2861; fdr=0.468; positive_null	0.28606707	axis-local FDR=0.46798811	case=10; control=11	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_psoriasis_1	axis_01_ifn_apc	psoriasis	skin APC	single_cell_or_single_nucleus_h5ad	psoriasis_skin_apc	delta=0.4486; hedges_g=2.817; support=supportive	module=ifn_apc; p=0.01975; fdr=0.09136; supportive	0.019745845	axis-local FDR=0.091358507	case=3; control=3	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_psoriasis_2	axis_01_ifn_apc	psoriasis	skin APC	single_cell_or_single_nucleus_h5ad	psoriasis_skin_apc	delta=0.2992; hedges_g=2.384; support=trend	module=mixscale_validated_ifng_readout; p=0.03137; fdr=0.1168; trend	0.031365382	axis-local FDR=0.11680901	case=3; control=3	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_rheumatoid_arthritis_1	axis_01_ifn_apc	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.01783; hedges_g=-0.1823; support=null_or_negative	module=mixscale_validated_ifng_readout; p=0.5796; fdr=0.686; null_or_negative	0.57962875	axis-local FDR=0.68601666	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_rheumatoid_arthritis_2	axis_01_ifn_apc	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.04598; hedges_g=-0.249; support=null_or_negative	module=ifn_apc; p=0.4503; fdr=0.5722; null_or_negative	0.4503055	axis-local FDR=0.57215287	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_type_1_diabetes_mellitus_1	axis_01_ifn_apc	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2724; hedges_g=1.952; support=supportive	module=mixscale_validated_ifng_readout; p=0.01929; fdr=0.09136; supportive	0.019287815	axis-local FDR=0.091358507	case=5; control=19	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_type_1_diabetes_mellitus_2	axis_01_ifn_apc	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2236; hedges_g=1.377; support=supportive	module=hla_ii_apc; p=0.01677; fdr=0.08966; supportive	0.016766245	axis-local FDR=0.089662375	case=5; control=19	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_ulcerative_colitis_1	axis_01_ifn_apc	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.4433; hedges_g=3.271; support=strong	module=mixscale_validated_ifng_readout; p=0.000116; fdr=0.02505; strong	0.00011595942	axis-local FDR=0.025047235	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_ulcerative_colitis_2	axis_01_ifn_apc	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.4847; hedges_g=2.359; support=supportive	module=ifn_apc; p=0.001297; fdr=0.05254; supportive	0.0012969113	axis-local FDR=0.052539088	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_02_genetics_Crohn_LDSC_Yang2021	axis_02_genetics	Crohn disease	germline	LDSC_genetic_correlation	Yang et al. Nat Commun 2021; doi:10.1038/s41467-021-25768-0	MS-CD rg=0.16; MS-IBD rg=0.28	LDSC cross-trait genetic correlation; SMR/TWAS also performed in source study	source reports significant MS-IBD and weaker MS-CD than MS-UC	source-level LDSC/FDR; matrix placement pre-specified in MAP_METHODOLOGY_V8	summary statistics: MS=47,429; IBD=59,957; CD=40,266; UC=45,975 in source	genetic_correlation	intermediate	Genetic correlation does not prove shared causal variant or shared effector cell type.	https://www.nature.com/articles/s41467-021-25768-0
V8_axis_02_genetics_Crohn_disease	axis_02_genetics	Crohn disease	germline	OpenTargets_genetic_association_overlap	Crohn	shared_with_MS=19; jaccard=0.077	MS_genetic_targets=73; disease_genetic_targets=193		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=19	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Graves_disease	axis_02_genetics	Graves disease	germline	OpenTargets_genetic_association_overlap	AITD	shared_with_MS=12; jaccard=0.059	MS_genetic_targets=73; disease_genetic_targets=143		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Hashimoto_thyroiditis	axis_02_genetics	Hashimoto thyroiditis	germline	OpenTargets_genetic_association_overlap	AITD	shared_with_MS=12; jaccard=0.059	MS_genetic_targets=73; disease_genetic_targets=143		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Sjogren_syndrome	axis_02_genetics	Sjogren syndrome	germline	OpenTargets_genetic_association_overlap	Sjogren	shared_with_MS=2; jaccard=0.024	MS_genetic_targets=73; disease_genetic_targets=13		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=2	genetic	far	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_ankylosing_spondylitis	axis_02_genetics	ankylosing spondylitis	germline	OpenTargets_genetic_association_overlap	AS	shared_with_MS=9; jaccard=0.058	MS_genetic_targets=73; disease_genetic_targets=91		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=9	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_celiac_disease	axis_02_genetics	celiac disease	germline	OpenTargets_genetic_association_overlap	Celiac	shared_with_MS=8; jaccard=0.071	MS_genetic_targets=73; disease_genetic_targets=47		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=8	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_myasthenia_gravis	axis_02_genetics	myasthenia gravis	germline	OpenTargets_genetic_association_overlap		shared_with_MS=0; jaccard=0.000	MS_genetic_targets=73; disease_genetic_targets=0		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=0	genetic	unresolved	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_psoriasis	axis_02_genetics	psoriasis	germline	OpenTargets_genetic_association_overlap	Psoriasis	shared_with_MS=15; jaccard=0.071	MS_genetic_targets=73; disease_genetic_targets=152		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=15	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_rheumatoid_arthritis	axis_02_genetics	rheumatoid arthritis	germline	OpenTargets_genetic_association_overlap	RA	shared_with_MS=22; jaccard=0.070	MS_genetic_targets=73; disease_genetic_targets=262		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=22	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_systemic_lupus_erythematosus	axis_02_genetics	systemic lupus erythematosus	germline	OpenTargets_genetic_association_overlap	SLE	shared_with_MS=19; jaccard=0.098	MS_genetic_targets=73; disease_genetic_targets=140		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=19	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_type_1_diabetes_mellitus	axis_02_genetics	type 1 diabetes mellitus	germline	OpenTargets_genetic_association_overlap	T1D	shared_with_MS=11; jaccard=0.065	MS_genetic_targets=73; disease_genetic_targets=107		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=11	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_UC_LDSC_Yang2021	axis_02_genetics	ulcerative colitis	germline	LDSC_genetic_correlation	Yang et al. Nat Commun 2021; doi:10.1038/s41467-021-25768-0	MS-UC rg=0.33; MS-IBD rg=0.28	LDSC cross-trait genetic correlation; source highlights stronger MS-UC than MS-CD	source reports significant MS-IBD/MS-UC genetic correlation	source-level LDSC/FDR; matrix placement pre-specified in MAP_METHODOLOGY_V8	summary statistics: MS=47,429; IBD=59,957; CD=40,266; UC=45,975 in source	genetic_correlation	near	Genetic correlation does not prove shared causal variant or shared effector cell type.	https://www.nature.com/articles/s41467-021-25768-0
V8_axis_02_genetics_ulcerative_colitis	axis_02_genetics	ulcerative colitis	germline	OpenTargets_genetic_association_overlap	UC	shared_with_MS=12; jaccard=0.057	MS_genetic_targets=73; disease_genetic_targets=148		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_03_microbiome_Crohn_disease	axis_03_microbiome	Crohn disease	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41586-019-1237-9	HMP2/iHMP followed IBD subjects longitudinally with stool, biopsy, and blood multi-omics over one year; this is a direct gut immune-barrier disease context and shares the microbial-metabolite/SCFA/barrier axis implicated in MS.			literature evidence; no matrix p-value		longitudinal	near	Near on gut microbial-immune axis, not proof that Crohn and MS share initiating causes.	https://www.nature.com/articles/s41586-019-1237-9
V8_axis_03_microbiome_Graves_disease	axis_03_microbiome	Graves disease	gut microbiome	literature_or_public_cohort		No V8-verified Graves-specific gut microbiome source was added in this pass.			literature evidence; no matrix p-value		none	unresolved	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.	
V8_axis_03_microbiome_Hashimoto_thyroiditis	axis_03_microbiome	Hashimoto thyroiditis	gut microbiome	literature_or_public_cohort		No V8-verified thyroid-specific gut microbiome source was added in this pass.			literature evidence; no matrix p-value		none	unresolved	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.	
V8_axis_03_microbiome_Sjogren_syndrome	axis_03_microbiome	Sjogren syndrome	gut microbiome	literature_or_public_cohort	https://pubmed.ncbi.nlm.nih.gov/37682372/	Systematic review/meta-analysis reports gut microbiota disruption in primary Sjogren's syndrome.			literature evidence; no matrix p-value		literature_review	intermediate	Evidence supports dysbiosis but not a well-resolved MS-shared microbial mechanism.	https://pubmed.ncbi.nlm.nih.gov/37682372/
V8_axis_03_microbiome_ankylosing_spondylitis	axis_03_microbiome	ankylosing spondylitis	gut microbiome	literature_or_public_cohort	https://link.springer.com/article/10.1007/s40588-023-00213-6	Spondyloarthritis is gut-linked in multiple reviews and appears in microbiome-autoimmunity discussions, but V8 has not yet added disease-specific longitudinal evidence.			literature evidence; no matrix p-value		literature_review	near	Near is biologically plausible gut-joint axis, but low confidence until disease-specific sources are added.	https://link.springer.com/article/10.1007/s40588-023-00213-6
V8_axis_03_microbiome_celiac_disease	axis_03_microbiome	celiac disease	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC8307711/	Longitudinal prospective at-risk-child studies report microbiome signatures during progression toward celiac disease onset, making celiac close to MS on gut-barrier/microbiome plausibility but disease-specific to gluten/HLA.			literature evidence; no matrix p-value		longitudinal	near	Near is driven by gut-barrier longitudinal design, not by shared antigen trigger with MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8307711/
V8_axis_03_microbiome_myasthenia_gravis	axis_03_microbiome	myasthenia gravis	gut microbiome	literature_or_public_cohort		No V8-verified myasthenia-specific microbiome source was added in this pass.			literature evidence; no matrix p-value		none	unresolved	Unresolved, not far.	
