item	category	relevance	novelty	evidence_grade	supporting_artifact	status
Bounded APC/HLA-II early treatment-response monitoring scalar	positive_supported	5	4	provisional	docs/findings/FINDING_V22.md; docs/locked_rules/LOCKED_RULE_V22.md	primary validation lead; external validation pending
Tool-robust but simple V22 scalar	methodological	4	3	supported	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	validate scalar; do not add complexity
V22 scalar is immune-tone bounded, not steroid/composition artifact	methodological	4	3	supported	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	include confounder panels in future validation
Coupled APC remodeling architecture	positive_supported	4	4	supported	docs/findings/DEEP_STRUCTURE_V26.md	mechanistic context for monitoring; not target
MS-UC is strongest tested genome-wide genetics comparator	positive_supported	4	2	robust	docs/history/LEAD_SLATE_V21.md	genetic backdrop; low novelty but important context
Layer-specific autoimmune transfer-validity map	positive_supported	4	4	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use axes, not disease labels, for transfer
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	4	3	supported	docs/findings/KILL_HYP_V6_006.md	dynamic response readout survives in mucosal IBD
IFN-beta HLA-II/CD74 branch	positive_supported	3	3	provisional	docs/history/HYPOTHESIS_SLATE_V36.md; analysis/v36_ms_ifnb_longitudinal_audit/	therapy-specific context; not primary rule
T/B-readable early IFN/APC/STAT1 monitoring state	positive_supported	3	4	provisional	docs/history/HYPOTHESIS_SLATE_V36.md	replication-gated secondary audit
Postpartum HLA-II/CD64 APC-arm imbalance	positive_supported	3	4	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	clinically anchored but MS postpartum data-gated
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	3	4	supported	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	transfer-validity finding; not target
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	3	3	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	controlled-data handoff; no intervention claim
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	3	3	negative-established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	closed transfer target unless signal-specific data arrive
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	3	2	negative-established	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	HLA overlap should not be overread as shared causal variant
UC genetics vs treatment-response layer split	decoupling_negative	4	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	genetic and response-transfer axes separated
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	response-monitoring analogy, not genetic target transfer
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use RA for postpartum timing, not blood APC biomarker transfer
Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	2	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	limited comparator role
No load-bearing invariant found in V26	decoupling_negative	2	4	negative-established	docs/findings/DEEP_STRUCTURE_V26.md	do not claim conserved invariant
No validated broad immune-state simulator from held data	kills_closed	4	3	negative-established	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	use only low-resolution directional priors in bounded domain
Coupled-axis successor rule does not beat scalar	kills_closed	4	3	negative-established	docs/history/LEAD_INVENTORY_V29.md; analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	no V27 successor locked
Locked V7 general cross-disease baseline fallback killed	kills_closed	4	3	negative-established	docs/findings/KILL_HYP_V6_006.md	baseline fallback rejected; dynamic mucosal IBD survives
GPR25 demoted from protected favorite	kills_closed	3	3	negative-established	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	conditional causal candidate only
NAMPT/eNAMPT not reactivated as target	kills_closed	2	2	negative-established	docs/history/LEAD_INVENTORY_V29.md	marker/covariate only
ZFP36L1 chr14 parked	kills_closed	2	2	provisional	docs/history/LEAD_SLATE_V21.md	suggestive PP.H4 only; needs robust coloc/QTL direction
REL/PUS10/USP34 chr2 closed	kills_closed	2	2	negative-established	docs/history/LEAD_SLATE_V21.md	no disease SuSiE-coloc summary
EBV/IFN APC imprint downgraded by specificity control	kills_closed	3	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	reopen only with EBV-stratified data
Complement/lipid progressive axis downgraded	kills_closed	2	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	weak lipid context only
Lysosomal APC bottleneck not proven	kills_closed	3	3	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	strong coupling, no bottleneck proof
Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	3	2	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	use as covariate/context
Multi-lineage and RPT lenses add prioritization, not evidence	methodological	2	3	supported	docs/history/LEAD_INVENTORY_V31.md; docs/history/HYPOTHESIS_SLATE_V36.md	keep model output proposal-only
First-principles druggability discipline changed target interpretation	methodological	4	4	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	do not use class precedent as druggability shortcut
