candidate	source	query	count	top_hits	status	mode	url	raw_path
CCR6_TH17_TRAFFICKING	EuropePMC	CCR6 CCL20 antagonist autoimmune multiple sclerosis rheumatoid arthritis Crohn psoriasis	21	29155882: Pharmacological inhibition of RORγt suppresses the Th17 pathway and alleviates arthritis in vivo. (2017) | 26906720: Tissue-resident dendritic cells and diseases involving dendritic cell malfunction. (2016) | PMC7128981: Oral Presentation Abstracts (2017) | 31592543: 17th International Congress of Immunology, 19-23 October 2019, Beijing, China. (2019) | 26208821: The 12th World Congress on Inflammation : 8-12 August, 2015 Seaport Hotel and World Trade Center, Boston, USA. (2015)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CCR6+CCL20+antagonist+autoimmune+multiple+sclerosis+rheumatoid+arthritis+Crohn+psoriasis&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_CCR6_CCL20_antagonist_autoimmune_multiple_sclerosis_rheumatoid_arthritis_Crohn_psoriasis.json
CCR6_TH17_TRAFFICKING	EuropePMC	CCR6 Th17 trafficking therapeutic target autoimmune disease	895	41613106: Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases. (2025) | PMC13189970: Regulatory T cell therapy in autoimmune and immune-mediated diseases: from basic research to clinical practice and future perspectives () | 41947813: The emerging role of T cells in depression. (2026) | 42023240: Immune dysregulation in endometriosis: the T cell perspective. (2026) | 41419693: Biosafety assessment of engineered CCL20 locked dimers in vivo. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CCR6+Th17+trafficking+therapeutic+target+autoimmune+disease&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_CCR6_Th17_trafficking_therapeutic_target_autoimmune_disease.json
CCR6_TH17_TRAFFICKING	ClinicalTrials.gov	CCR6 autoimmune	5	NCT02419378: Alemtuzumab in Autoimmune Inflammatory Neurodegeneration: Mechanisms of Action and Neuroprotective Potential | NCT06674018: Indole-3-PROpionic Acid Clinical Trials - a Pilot Study | NCT05413005: Efficacy of Extracorporeal Photopheresis (ECP) in the Treatment of Type 1 Diabetes Mellitus | NCT04096222: Comparative Analysis of the Th17 Cellular Response in Active and Inactive Pemphigus Vulgaris Patients | NCT04742374: Effects of Single Plasma Exchange and Double Filtration Plasmapheresis (DFPP) on Peripheral Lymphocyte Phenotypes in Patients With Chronic Inflammatory Demyelinating Polyradiculoneuropathy	200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=CCR6+autoimmune&pageSize=5	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/clinicaltrials.gov_CCR6_autoimmune.json
TREM2_APOE_LIPID_REPAIR	EuropePMC	TREM2 agonist multiple sclerosis remyelination autoimmune	174	41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. (2026) | 41512220: Decoding TREM2 Signaling Pathways: Linking Macrophage Glycolysis to Inflammatory Diseases in the CNS. (2026) | 41699693: Spatial characterisation of TREM2 expression in actively demyelinating multiple sclerosis lesions supports its key roles in lipid metabolic pathways. (2026) | 40813983: Cystatin F-a key player in central nervous system disease. (2025) | 41449430: Role of TREM2 in neuroinflammation regulation: mechanisms, disease associations, and therapeutic translation advances. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TREM2+agonist+multiple+sclerosis+remyelination+autoimmune&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_TREM2_agonist_multiple_sclerosis_remyelination_autoimmune.json
TREM2_APOE_LIPID_REPAIR	EuropePMC	TREM2 APOE lipid phagocytosis repair multiple sclerosis lesion	272	41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. (2026) | 41373648: Microglia in Brain Aging and Age-Related Diseases: Friends or Foes? (2025) | 41413288: The Role of TREM2 After Stroke: From Mechanisms to Therapeutic Potential. (2025) | 41934295: Microglia in health and CNS disease: Learning from animal models. (2026) | 41846825: Lipid-associated macrophages and metabolic inflammatory diseases. (2026)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TREM2+APOE+lipid+phagocytosis+repair+multiple+sclerosis+lesion&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_TREM2_APOE_lipid_phagocytosis_repair_multiple_sclerosis_lesion.json
TREM2_APOE_LIPID_REPAIR	ClinicalTrials.gov	TREM2 multiple sclerosis	2	NCT06541626: Sun Yat-Sen Cohort of CNS Idiopathic Inflammatory Demyelinating Diseases | NCT06033846: Efficacy and Safety of Adjunctive Minocycline in the Treatment of Autoimmune Encephalitis	200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=TREM2+multiple+sclerosis&pageSize=5	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/clinicaltrials.gov_TREM2_multiple_sclerosis.json
SQLE_STEROL_STROMAL	EuropePMC	SQLE squalene monooxygenase autoimmune inflammatory disease psoriasis IBD	2	41362701: E3 Ubiquitin Ligases: Structures, Biological Functions, Diseases, and Therapy. (2025) | PMC10576946: UEG Week 2023 Moderated Posters (2023)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SQLE+squalene+monooxygenase+autoimmune+inflammatory+disease+psoriasis+IBD&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_SQLE_squalene_monooxygenase_autoimmune_inflammatory_disease_psoriasis_IBD.json
SQLE_STEROL_STROMAL	EuropePMC	squalene monooxygenase inhibitor inflammation autoimmune	61	40659633: CYP51A1 in health and disease: from sterol metabolism to regulated cell death. (2025) | 40145543: The Role of Cholesterol Metabolism and Its Regulation in Tumor Development. (2025) | 39967676: Intricating connections: the role of ferroptosis in systemic lupus erythematosus. (2025) | 41362701: E3 Ubiquitin Ligases: Structures, Biological Functions, Diseases, and Therapy. (2025) | 40258837: Intratumor fungi specific mechanisms to influence cell death pathways and trigger tumor cell apoptosis. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=squalene+monooxygenase+inhibitor+inflammation+autoimmune&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_squalene_monooxygenase_inhibitor_inflammation_autoimmune.json
SQLE_STEROL_STROMAL	ClinicalTrials.gov	SQLE autoimmune	0		200	cache	https://clinicaltrials.gov/api/v2/studies?query.term=SQLE+autoimmune&pageSize=5	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/clinicaltrials.gov_SQLE_autoimmune.json
LOCALIZED_IL10_RESTORATION	EuropePMC	IL10 therapy autoimmune multiple sclerosis Crohn psoriasis rheumatoid arthritis	148	41239630: Causal association between autoimmune diseases and risk of breast cancer: A bidirectional Mendelian randomization study. (2025) | 41798919: Exosomal non-coding RNAs in autoimmune diseases: molecular mechanisms and potential applications. (2026) | 40148470: Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy. (2025) | 40788025: Clinical applications and mechanisms of vagus nerve stimulation in the treatment of immune diseases: a review. (2025) | 42007373: An overview of the role of the gut microbiota in rheumatoid arthritis. (2026)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=IL10+therapy+autoimmune+multiple+sclerosis+Crohn+psoriasis+rheumatoid+arthritis&format=json&pageSize=5&resultType=lite	results_v3/wave52_remaining_mechanistic_reopeners/raw_api/europepmc_IL10_therapy_autoimmune_multiple_sclerosis_Crohn_psoriasis_rheumatoid_arthritis.json
