axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_04_lipid_lysosomal	rheumatoid arthritis	far	provisional	low	V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1;V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Crohn disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_Crohn_disease_1;V8_axis_04_lipid_lysosomal_Crohn_disease_2		colon epithelial; colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	ulcerative colitis	near	provisional	medium	V8_axis_04_lipid_lysosomal_ulcerative_colitis_1;V8_axis_04_lipid_lysosomal_ulcerative_colitis_2		colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	psoriasis	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_psoriasis_1;V8_axis_04_lipid_lysosomal_psoriasis_2		skin keratinocyte	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	type 1 diabetes mellitus	near	supported	medium	V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_1;V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_2		pancreatic acinar cell; pancreatic ductal cell	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Sjogren syndrome	far	supported	medium	V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1;V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2		salivary gland APC; salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Hashimoto thyroiditis	near	provisional	medium	V8_axis_04_lipid_lysosomal_Hashimoto_thyroiditis_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Graves disease	far	provisional	low	V8_axis_04_lipid_lysosomal_Graves_disease_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	celiac disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_celiac_disease_1;V8_axis_04_lipid_lysosomal_celiac_disease_2		b_plasma_like marker-classified duodenum; myeloid_apc_like marker-classified duodenum	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
