analysis	summary_path	category	count_key	count	counting_note
v54_foamy_donor_estimand_audit	analysis/v54_foamy_donor_estimand_audit/summary.json	held_data_randomization_replicates	n_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_foamy_lesion_heterogeneity	analysis/v54_foamy_lesion_heterogeneity/summary.json	held_data_randomization_replicates	n_donor_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_foamy_state_lesion_stratum_transport	analysis/v54_foamy_state_lesion_stratum_transport/summary.json	held_data_randomization_replicates	n_donor_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_lysosomal_morphology_specificity	analysis/v54_lysosomal_morphology_specificity/summary.json	held_data_randomization_replicates	n_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_oxphos_lysosomal_coupling	analysis/v54_oxphos_lysosomal_coupling/summary.json	held_data_randomization_replicates	n_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_progression_blinded_feasibility	analysis/v54_progression_blinded_feasibility/summary.json	synthetic_gate_fixtures	n_fixtures	9	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_combined_ascertainment	analysis/v54_progression_combined_ascertainment/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	288000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_combined_ascertainment	analysis/v54_progression_combined_ascertainment/summary.json	analysis_route_evaluations	n_route_evaluations	576000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_combined_ascertainment_confirmation	analysis/v54_progression_combined_ascertainment_confirmation/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	144000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_combined_ascertainment_confirmation	analysis/v54_progression_combined_ascertainment_confirmation/summary.json	analysis_route_evaluations	n_guarded_route_evaluations	144000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_combined_intake_gate	analysis/v54_progression_combined_intake_gate/summary.json	synthetic_gate_fixtures	n_fixtures	9	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_competing_risk_robustness	analysis/v54_progression_competing_risk_robustness/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	129600	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_confirmation_error	analysis/v54_progression_confirmation_error/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	230400	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_confirmation_provenance_gate	analysis/v54_progression_confirmation_provenance_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_endpoint_adjudication	analysis/v54_progression_endpoint_adjudication/summary.json	synthetic_gate_fixtures	n_fixtures	16	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_enrollment_inflation	analysis/v54_progression_enrollment_inflation/summary.json	planning_monte_carlo_replicates	n_synthetic_cohort_replicates	122805000	Lightweight enrollment/loss/event planning draws; not model-fit cohorts.
v54_progression_event_power_design	analysis/v54_progression_event_power_design/summary.json	model_fit_synthetic_cohorts	n_simulated_cohorts	288000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_event_time_assumption_gate	analysis/v54_progression_event_time_assumption_gate/summary.json	synthetic_gate_fixtures	n_fixtures	8	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_event_time_assumption_robustness	analysis/v54_progression_event_time_assumption_robustness/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	225000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_event_time_assumption_robustness	analysis/v54_progression_event_time_assumption_robustness/summary.json	analysis_route_evaluations	n_analysis_evaluations	675000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_event_time_power_design	analysis/v54_progression_event_time_power_design/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	90000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_event_time_power_design	analysis/v54_progression_event_time_power_design/summary.json	analysis_route_evaluations	n_route_evaluations	180000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_information_monitor	analysis/v54_progression_information_monitor/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_leave_site_out_precision	analysis/v54_progression_leave_site_out_precision/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	96000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_leave_site_out_precision_extension	analysis/v54_progression_leave_site_out_precision_extension/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	72000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_lesion_module_panel	analysis/v54_progression_lesion_module_panel/summary.json	held_data_randomization_replicates	n_gse279972_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_progression_lesion_state	analysis/v54_progression_lesion_state/summary.json	held_data_randomization_replicates	n_donor_wild_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_progression_linear_misspecification	analysis/v54_progression_linear_misspecification/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	108000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_linear_misspecification	analysis/v54_progression_linear_misspecification/summary.json	model_fit_synthetic_cohorts	n_independent_null_calibration_cohorts	18000	Disjoint synthetic calibration cohorts additional to the evaluation grid.
v54_progression_linear_misspecification	analysis/v54_progression_linear_misspecification/summary.json	analysis_route_evaluations	n_method_route_evaluations	540000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_multisite_transportability	analysis/v54_progression_multisite_transportability/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	115200	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
