term	snippet
response	"icle-id pub-id-type=""doi"">10.3389/fneur.2023.1158487</article-id><title-group><article-title>Adaptive and innate immune responses in multiple sclerosis with anti-CD20 therapy: Gene expression and protein profiles</article-title></title-group><contr"
response	 anti-CD20 therapy. In addition, at 6 months, there is enhanced Th1 cell gene expression and induction of innate immune response genes and TLR expression, which can enhance anti-viral and anti-tumor immunity. This may compensate for diminished B ce
response	sted in other B cell genes, including <italic>MS4A1</italic> (CD20, late pro-B cells through memory cells; enhances BCR response), <italic>CD19</italic> (member of costimulatory complex of CD21 complement receptor, CD81, and CD225), <italic>EBF1</i
response	"-specific B cells will prevent critical interactions with T follicular helper cells in lymph nodes and diminish vaccine responses (<xref rid=""ref45"" ref-type=""bibr"">45</xref>). This may be amplified during COVID-19 infection due to disruption of ly"
response	 3 weeks before the next infusion of anti-CD20 to take advantage of falling drug concentrations and increasing antibody responses at 6 months, and to avoid the effects of co-administered glucocorticoids and a transient cytokine storm from B cell de
response	"xref>, <xref rid=""ref53"" ref-type=""bibr"">53</xref>), (2) a rise in CD8+ cytolytic T cells, (3) clear CD8 and CD4 T-cell responses to COVID antigens (<xref rid=""ref49"" ref-type=""bibr"">49</xref>, <xref rid=""ref54"" ref-type=""bibr"">54</xref>), (4) a fo"
response	" a fourfold increase in IFN-γ-secreting T cells (<xref rid=""ref55"" ref-type=""bibr"">55</xref>), and (5) effective T-cell responses after a third booster vaccination (<xref rid=""ref56"" ref-type=""bibr"">56</xref>). This indicates that serum immunoglobu"
response	le for redosing of anti-CD20 therapy at 6 months, and may explain “wearing-off” effects. Also, vaccine-induced antibody responses may be strongest around 5 to 6 months after infusions, when B cell gene expression begins to return. Despite B-cell do
response	"ted in organ-specific inflammatory pathways and in PBMC. Upregulation of T-cell and innate pathways may enhance vaccine responses even when immunoglobulin titers are suboptimal.</p></sec><sec id=""sec24"" disp-level=""1""><title>Data availability state"
response	"nt content-type=""citation-string"">Feng X, Wang Z, Howlett-Prieto Q, Einhorn N, Causevic S, Reder AT. Vitamin D enhances responses to interferon-β in multiple sclerosis. Neurol Neuroimmunol Neuroinflamm. (2019) 6:1–13. doi: 10.1212/NXI.0000000000000"
response	"xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Neurol Neuroimmunol Neuroinflamm&amp;title=Vitamin D enhances responses to interferon-β in multiple sclerosis&amp;author=X Feng&amp;author=Z Wang&amp;author=Q Howlett-Prieto&amp;author=N Ein"
