ID	ITEM	CATEGORY	RELEVANCE	NOVELTY	EVIDENCE_SCORE	IS_PROVISIONAL	IS_NEGATIVE_ESTABLISHED	HAS_DATA_GAP	HAS_TRANSFER_WARNING	HAS_METHOD_CONTEXT	IN_FAILURE_TABLE	ACTION_CLASS	TRUE_ACTION_CLASS
V37_01	Bounded APC/HLA-II early treatment-response monitoring scalar	positive_supported	5	4	2	1	0	1	0	0	0	[PREDICT]	external_validation_priority
V37_02	Tool-robust but simple V22 scalar	methodological	4	3	3	0	0	0	0	1	0	method_context	method_context
V37_03	V22 scalar is immune-tone bounded, not steroid/composition artifact	methodological	4	3	3	0	0	0	0	1	0	method_context	method_context
V37_04	Coupled APC remodeling architecture	positive_supported	4	4	3	0	0	0	0	0	0	supported_context	supported_context
V37_05	MS-UC is strongest tested genome-wide genetics comparator	positive_supported	4	2	4	0	0	0	0	0	0	supported_context	supported_context
V37_06	Layer-specific autoimmune transfer-validity map	positive_supported	4	4	3	0	0	0	1	0	0	transfer_warning	transfer_warning
V37_07	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	4	3	3	0	0	0	0	0	0	supported_context	supported_context
V37_08	IFN-beta HLA-II/CD74 branch	positive_supported	3	3	2	1	0	0	0	0	0	data_gated_followup	data_gated_followup
V37_09	T/B-readable early IFN/APC/STAT1 monitoring state	positive_supported	3	4	2	1	0	1	0	0	0	[PREDICT]	data_gated_followup
V37_10	Postpartum HLA-II/CD64 APC-arm imbalance	positive_supported	3	4	2	1	0	1	0	0	0	[PREDICT]	data_gated_followup
V37_11	ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	3	4	3	0	0	0	1	0	1	[PREDICT]	transfer_warning
V37_12	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	3	3	3	0	0	0	0	0	1	transfer_warning	transfer_warning
V37_13	PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	3	3	3	0	1	0	1	0	1	[PREDICT]	transfer_warning
V37_14	MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	3	2	3	0	1	0	0	0	1	transfer_warning	transfer_warning
V37_15	UC genetics vs treatment-response layer split	decoupling_negative	4	3	3	0	0	0	1	0	1	transfer_warning	transfer_warning
V37_16	Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	3	3	3	0	0	0	1	0	1	transfer_warning	transfer_warning
V37_17	RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	3	3	3	0	0	0	1	0	1	transfer_warning	transfer_warning
V37_18	Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	2	3	3	0	0	0	1	0	1	transfer_warning	transfer_warning
V37_19	No load-bearing invariant found in V26	decoupling_negative	2	4	3	0	1	0	0	0	1	transfer_warning	transfer_warning
V37_20	No validated broad immune-state simulator from held data	kills_closed	4	3	3	0	1	0	0	0	1	[PREDICT]	negative_closed
V37_21	Coupled-axis successor rule does not beat scalar	kills_closed	4	3	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_22	Locked V7 general cross-disease baseline fallback killed	kills_closed	4	3	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_23	GPR25 demoted from protected favorite	kills_closed	3	3	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_24	NAMPT/eNAMPT not reactivated as target	kills_closed	2	2	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_25	ZFP36L1 chr14 parked	kills_closed	2	2	2	1	0	1	0	0	1	data_gated_followup	data_gated_followup
V37_26	REL/PUS10/USP34 chr2 closed	kills_closed	2	2	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_27	EBV/IFN APC imprint downgraded by specificity control	kills_closed	3	3	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_28	Complement/lipid progressive axis downgraded	kills_closed	2	3	3	0	1	0	0	0	1	negative_closed	negative_closed
V37_29	Lysosomal APC bottleneck not proven	kills_closed	3	3	2	1	0	0	0	0	1	data_gated_followup	data_gated_followup
V37_30	Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	3	2	2	1	0	0	0	0	1	data_gated_followup	data_gated_followup
V37_31	Multi-lineage and RPT lenses add prioritization, not evidence	methodological	2	3	3	0	0	0	0	1	0	method_context	method_context
V37_32	First-principles druggability discipline changed target interpretation	methodological	4	4	3	0	0	0	0	1	0	method_context	method_context
