resource	label	query	count	top_hits	url
pubmed	SEL1L3_titleabs_pubmed_pert	SEL1L3[Title/Abstract] AND (knockdown[Title/Abstract] OR knockout[Title/Abstract] OR CRISPR[Title/Abstract] OR siRNA[Title/Abstract] OR shRNA[Title/Abstract] OR overexpression[Title/Abstract] OR perturbation[Title/Abstract])	1	34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (J Periodontal Res)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=SEL1L3%5BTitle%2FAbstract%5D+AND+%28knockdown%5BTitle%2FAbstract%5D+OR+knockout%5BTitle%2FAbstract%5D+OR+CRISPR%5BTitle%2FAbstract%5D+OR+siRNA%5BTitle%2FAbstract%5D+OR+shRNA%5BTitle%2FAbstract%5D+OR+overexpression%5BTitle%2FAbstract%5D+OR+perturbation%5BTitle%2FAbstract%5D%29&retmode=json&retmax=10
pubmed	SEL1L3_titleabs_pubmed_immune_pert	SEL1L3[Title/Abstract] AND (immune[Title/Abstract] OR macrophage[Title/Abstract] OR monocyte[Title/Abstract] OR stromal[Title/Abstract] OR epithelial[Title/Abstract] OR autoimmune[Title/Abstract] OR inflammation[Title/Abstract] OR inflammatory[Title/Abstract]) AND (knockdown[Title/Abstract] OR knockout[Title/Abstract] OR CRISPR[Title/Abstract] OR siRNA[Title/Abstract] OR shRNA[Title/Abstract] OR overexpression[Title/Abstract] OR perturbation[Title/Abstract])	1	34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (J Periodontal Res)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=SEL1L3%5BTitle%2FAbstract%5D+AND+%28immune%5BTitle%2FAbstract%5D+OR+macrophage%5BTitle%2FAbstract%5D+OR+monocyte%5BTitle%2FAbstract%5D+OR+stromal%5BTitle%2FAbstract%5D+OR+epithelial%5BTitle%2FAbstract%5D+OR+autoimmune%5BTitle%2FAbstract%5D+OR+inflammation%5BTitle%2FAbstract%5D+OR+inflammatory%5BTitle%2FAbstract%5D%29+AND+%28knockdown%5BTitle%2FAbstract%5D+OR+knockout%5BTitle%2FAbstract%5D+OR+CRISPR%5BTitle%2FAbstract%5D+OR+siRNA%5BTitle%2FAbstract%5D+OR+shRNA%5BTitle%2FAbstract%5D+OR+overexpression%5BTitle%2FAbstract%5D+OR+perturbation%5BTitle%2FAbstract%5D%29&retmode=json&retmax=10
gds	SEL1L3_title_gds_pert	SEL1L3[Title] AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=SEL1L3%5BTitle%5D+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=10
EuropePMC	SEL1L3_titleabs_pert	"TITLE_ABS:""SEL1L3"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	9	37993256: SEL1L3 as a link molecular between renal cell carcinoma and atherosclerosis based on bioinformatics analysis and experimental verification. (2023) | 40612944: Bridging aging, immunity, and atherosclerosis: novel insights into senescence-related genes. (2025) | 40051609: Identification of BCL11A, NTN5, and OGN as Diagnosis Biomarker of Papillary Renal Cell Carcinomas by Bioinformatic Analysis. (2025) | 39877037: Screening of biomarkers for diagnosing chronic kidney disease and heart failure with preserved ejection fraction through bioinformatics analysis. (2025) | 36930113: The specific phagocytosis regulators could predict recurrence and therapeutic effect in thyroid cancer: A study based on bioinformatics analysis. (2023) | 38111587: Single-cell and bulk RNA sequencing analysis of B cell marker genes in TNBC TME landscape and immunotherapy. (2023) | 34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (2022) | 32274496: Activin A Determines Steroid Levels and Composition in the Fetal Testis. (2020) | 31019967: A Simple Competing Endogenous RNA Network Identifies Novel mRNA, miRNA, and lncRNA Markers in Human Cholangiocarcinoma. (2019)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22SEL1L3%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=10&resultType=lite
EuropePMC	SEL1L3_titleabs_immune_pert	"TITLE_ABS:""SEL1L3"" AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory) AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	8	40612944: Bridging aging, immunity, and atherosclerosis: novel insights into senescence-related genes. (2025) | 37993256: SEL1L3 as a link molecular between renal cell carcinoma and atherosclerosis based on bioinformatics analysis and experimental verification. (2023) | 39877037: Screening of biomarkers for diagnosing chronic kidney disease and heart failure with preserved ejection fraction through bioinformatics analysis. (2025) | 36930113: The specific phagocytosis regulators could predict recurrence and therapeutic effect in thyroid cancer: A study based on bioinformatics analysis. (2023) | 40051609: Identification of BCL11A, NTN5, and OGN as Diagnosis Biomarker of Papillary Renal Cell Carcinomas by Bioinformatic Analysis. (2025) | 38111587: Single-cell and bulk RNA sequencing analysis of B cell marker genes in TNBC TME landscape and immunotherapy. (2023) | 34993975: Identification of hub genes related to immune cell infiltration in periodontitis using integrated bioinformatic analysis. (2022) | 31019967: A Simple Competing Endogenous RNA Network Identifies Novel mRNA, miRNA, and lncRNA Markers in Human Cholangiocarcinoma. (2019)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22SEL1L3%22+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=10&resultType=lite
pubmed	FXYD5_titleabs_pubmed_pert	FXYD5[Title/Abstract] AND (knockdown[Title/Abstract] OR knockout[Title/Abstract] OR CRISPR[Title/Abstract] OR siRNA[Title/Abstract] OR shRNA[Title/Abstract] OR overexpression[Title/Abstract] OR perturbation[Title/Abstract])	23	40972883: USP11 stabilizes RALY to promote FXYD5-mediated aerobic glycolysis and aggravate pancreatic cancer progression. (Exp Cell Res) | 40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (Transpl Immunol) | 39532790: Circ_0001068 accelerates the development of ovarian cancer by promoting FXYD5 expression through inhibiting mir-149-5p activity. (Discov Oncol) | 38155284: miR-1180 Targets FXYD5 to Regulate Pancreatic Cancer Cells Migration and Invasion. (Mol Biotechnol) | 37814066: The roles of FXYD family members in ovarian cancer: an integrated analysis by mining TCGA and GEO databases and functional validations. (J Cancer Res Clin Oncol) | 36621663: Generation of the novel anti-FXYD5 monoclonal antibody and its application to the diagnosis of pancreatic and lung cancer. (Biochimie) | 35977595: FXYD5 promotes sorafenib resistance through the Akt/mTOR signaling pathway in hepatocellular carcinoma. (Eur J Pharmacol) | 35191523: Fxyd5 activates the NF‑κB pathway and is involved in chondrocytes inflammation and extracellular matrix degradation. (Mol Med Rep) | 34059618: MMP8 increases tongue carcinoma cell-cell adhesion and diminishes migration via cleavage of anti-adhesive FXYD5. (Oncogenesis) | 33570156: Low expression of FXYD5 reverses the cisplatin resistance of epithelial ovarian cancer cells. (Histol Histopathol)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=FXYD5%5BTitle%2FAbstract%5D+AND+%28knockdown%5BTitle%2FAbstract%5D+OR+knockout%5BTitle%2FAbstract%5D+OR+CRISPR%5BTitle%2FAbstract%5D+OR+siRNA%5BTitle%2FAbstract%5D+OR+shRNA%5BTitle%2FAbstract%5D+OR+overexpression%5BTitle%2FAbstract%5D+OR+perturbation%5BTitle%2FAbstract%5D%29&retmode=json&retmax=10
pubmed	FXYD5_titleabs_pubmed_immune_pert	FXYD5[Title/Abstract] AND (immune[Title/Abstract] OR macrophage[Title/Abstract] OR monocyte[Title/Abstract] OR stromal[Title/Abstract] OR epithelial[Title/Abstract] OR autoimmune[Title/Abstract] OR inflammation[Title/Abstract] OR inflammatory[Title/Abstract]) AND (knockdown[Title/Abstract] OR knockout[Title/Abstract] OR CRISPR[Title/Abstract] OR siRNA[Title/Abstract] OR shRNA[Title/Abstract] OR overexpression[Title/Abstract] OR perturbation[Title/Abstract])	10	40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (Transpl Immunol) | 35191523: Fxyd5 activates the NF‑κB pathway and is involved in chondrocytes inflammation and extracellular matrix degradation. (Mol Med Rep) | 33570156: Low expression of FXYD5 reverses the cisplatin resistance of epithelial ovarian cancer cells. (Histol Histopathol) | 28620381: FXYD5 Is an Essential Mediator of the Inflammatory Response during Lung Injury. (Front Immunol) | 27006401: FXYD5 Protein Has a Pro-inflammatory Role in Epithelial Cells. (J Biol Chem) | 26410457: FXYD1 negatively regulates Na(+)/K(+)-ATPase activity in lung alveolar epithelial cells. (Respir Physiol Neurobiol) | 22526258: The circadian protein period 1 contributes to blood pressure control and coordinately regulates renal sodium transport genes. (Hypertension) | 22085977: Reduced expression of FXYD domain containing ion transport regulator 5 in association with hypertension. (Int J Mol Med) | 19128250: S163 is critical for FXYD5 modulation of wound healing in airway epithelial cells. (Wound Repair Regen) | 18783612: The Krüppel-like factor 9 (KLF9) network in HEC-1-A endometrial carcinoma cells suggests the carcinogenic potential of dys-regulated KLF9 expression. (Reprod Biol Endocrinol)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=FXYD5%5BTitle%2FAbstract%5D+AND+%28immune%5BTitle%2FAbstract%5D+OR+macrophage%5BTitle%2FAbstract%5D+OR+monocyte%5BTitle%2FAbstract%5D+OR+stromal%5BTitle%2FAbstract%5D+OR+epithelial%5BTitle%2FAbstract%5D+OR+autoimmune%5BTitle%2FAbstract%5D+OR+inflammation%5BTitle%2FAbstract%5D+OR+inflammatory%5BTitle%2FAbstract%5D%29+AND+%28knockdown%5BTitle%2FAbstract%5D+OR+knockout%5BTitle%2FAbstract%5D+OR+CRISPR%5BTitle%2FAbstract%5D+OR+siRNA%5BTitle%2FAbstract%5D+OR+shRNA%5BTitle%2FAbstract%5D+OR+overexpression%5BTitle%2FAbstract%5D+OR+perturbation%5BTitle%2FAbstract%5D%29&retmode=json&retmax=10
gds	FXYD5_title_gds_pert	FXYD5[Title] AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=FXYD5%5BTitle%5D+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=10
EuropePMC	FXYD5_titleabs_pert	"TITLE_ABS:""FXYD5"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	41	PPR1054220: FXYD5 promotes the growth of glioblastoma by targeting the PI3K/AKT/ACSL4 signaling axis (2025) | 40972883: USP11 stabilizes RALY to promote FXYD5-mediated aerobic glycolysis and aggravate pancreatic cancer progression. (2025) | 39532790: Circ_0001068 accelerates the development of ovarian cancer by promoting FXYD5 expression through inhibiting mir-149-5p activity. (2024) | 40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (2025) | 38774095: Association analysis of FXYD5 with prognosis and immunological characteristics across pan-cancer. (2024) | 38155284: miR-1180 Targets FXYD5 to Regulate Pancreatic Cancer Cells Migration and Invasion. (2024) | 35191523: Fxyd5 activates the NF‑κB pathway and is involved in chondrocytes inflammation and extracellular matrix degradation. (2022) | 39717768: Innovative strategies to optimise colorectal cancer immunotherapy through molecular mechanism insights. (2024) | PPR684430: Rewiring of chromatin loops in adipogenesis reveals targets for obesity and diabetes intervention (2023) | 37814066: The roles of FXYD family members in ovarian cancer: an integrated analysis by mining TCGA and GEO databases and functional validations. (2023)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22FXYD5%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=10&resultType=lite
EuropePMC	FXYD5_titleabs_immune_pert	"TITLE_ABS:""FXYD5"" AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory) AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	32	40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (2025) | 38774095: Association analysis of FXYD5 with prognosis and immunological characteristics across pan-cancer. (2024) | 39532790: Circ_0001068 accelerates the development of ovarian cancer by promoting FXYD5 expression through inhibiting mir-149-5p activity. (2024) | 39717768: Innovative strategies to optimise colorectal cancer immunotherapy through molecular mechanism insights. (2024) | 35191523: Fxyd5 activates the NF‑κB pathway and is involved in chondrocytes inflammation and extracellular matrix degradation. (2022) | 41526926: Development and validation of a diagnostic machine learning model for gastric cancer risk based on double-negative T cell-related features. (2026) | 38155284: miR-1180 Targets FXYD5 to Regulate Pancreatic Cancer Cells Migration and Invasion. (2024) | 37814066: The roles of FXYD family members in ovarian cancer: an integrated analysis by mining TCGA and GEO databases and functional validations. (2023) | 35042436: FXYD domain containing ion transport regulator 5 (FXYD5) silencing promotes cell viability and alleviates inflammatory response in cerulein-induced AR42J cells by blocking JAK2/STAT3 signaling pathway. (2022) | PPR684430: Rewiring of chromatin loops in adipogenesis reveals targets for obesity and diabetes intervention (2023)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE_ABS%3A%22FXYD5%22+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=10&resultType=lite
