source	candidate	gene_or_target	compound	call	pass_count	failed_gates	reachable_modality	direct_or_foundation_or_response	cross_disease_state	ms_anchor	genetic_or_target_resolution	prior_not_blocked	safety_direction_clear	source_not_demoted	score	blocker_text	mechanism	modality	direction
wave81_perturbation_first	CXCR2	CXCR2		NO_MODALITY_FIRST_CANDIDATE	6	ms_anchor;prior_not_blocked	True	True	True	False	True	False	True	True	6.0	chemokine/neutrophil route prior audited and infection-risk broad PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED chemokine/neutrophil route prior audited and infection-risk broad nan nan nan True  |  | no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:neutrophil_chemokine_axis_prior_art_and_safety | neutrophil_chemokine_axis_prior_art_and_safety | no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:neutrophil_chemokine_axis_prior_art_and_safety | neutrophil_chemokine_axis_prior_art_and_safety | prior_art_and_safety_saturated_neutrophil_axis |  |  |  |  nan   PARK_PRIOR_ART_		candidate modality channel	
wave83_modality_class	CD58_TARGETABILITY	CD58		NO_MODALITY_FIRST_CANDIDATE	5	prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	True	False	False	False	12.7	partial support remains but one or more critical targetability gates fail PARK_TARGETABILITY_SHORTLIST_NODE source_audit_not_promotional;fewer_than_two_support_channels nan nan nan True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_state_response_and_prior_art_cd2_axis;no_high_confidence_directional_support | genetic_anchor_without_state_response_and_prior_art_cd2_axis | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_st	CD58 targetability shortlist route	surface_biologic_possible	target-specific modulation unresolved
wave83_modality_class	CD58_CD2_AXIS	CD58		NO_MODALITY_FIRST_CANDIDATE	5	prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	True	False	False	False	10.2	MS genetics and RA CD58 signal survive T-cell adjustment, but IBD replication, direction, or prior art block promotion PARK_CD58_CD2_AXIS_PRIOR_ART_OR_IBD_LIMITED prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels nan nan nan True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_state_response_and_prior_art_cd2_axis;no_high_confidence_directional_support | genetic_anchor_without_state_response_and_prior_art_cd2_axis | weak_reachability;no_positive_perturba	CD58-CD2 interaction/state marker	biologic or fusion protein precedent	conflicted: blockade/depletion versus restored CD58 protective biology
wave81_perturbation_first	IL7R	IL7R		NO_MODALITY_FIRST_CANDIDATE	5	reachable_modality;prior_not_blocked;safety_direction_clear	False	True	True	True	True	False	False	True	9.0	IL7R genetics/druggability but prior audited and broad T-cell biology PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED IL7R genetics/druggability but prior audited and broad T-cell biology prior_art_CD127_autoimmune_axis nan prior-art crowded CD127/IL-7R autoimmune route True prior_art_CD127_autoimmune_axis |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd			
wave83_modality_class	eicosanoid_receptors	EICOSANOID		NO_MODALITY_FIRST_CANDIDATE	4	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	False	False	False	False	9.5	Leukotriene/prostaglandin immunology is crowded, directionally contradictory, and not selective for the V3 APC state. NO_GO genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels 	Eicosanoid / leukotriene / prostaglandin sensors	NSAIDs, leukotriene modifiers, prostanoid receptor ligands, and LTA4H inhibitors provide chemical matter	unclear: inhibit inflammatory leukotrienes/prostaglandins or agonize pro-resolving receptors depending on tissue context
wave81_perturbation_first	RGS14	RGS14		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;cross_disease_state;prior_not_blocked;source_not_demoted	True	False	False	True	True	False	True	False	9.0	nan NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support nan nan nan True  |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:genetics_without_state_breadth_or_modality | genetics_without_state_breadth_or_modality | weak_reachability;manual_or_prior_blocker;prior_branch_closed:genetics_without_state_breadth_or_modality | genetics_without_state_breadth_or_modality | insufficient_independent_convergence_after_guardrails |  |  |  |  nan   NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support PARK_MS_TARGE		candidate modality channel	
wave81_perturbation_first	SP140	SP140		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;prior_not_blocked;safety_direction_clear;source_not_demoted	True	False	True	True	True	False	False	False	8.0	closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification NO_REOPEN_BLOCKED_BRANCH closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification nan nan nuclear protein with no mature selective autoimmune modality; disease genetics may reflect loss-of-function rather than inhibit-to-treat direction True  |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:bromodomain_prior_art_weak_perturbation_selectivity | bromodomain_prior_a		candidate modality channel	
wave83_modality_class	IFI30_TARGETABILITY	IFI30		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;prior_not_blocked;source_not_demoted	False	False	True	True	True	False	True	False	7.7	insufficient target-level convergence after strict gates NO_GO_TARGETABILITY_SHORTLIST_NODE reachable_modality;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels direct_antigen_processing_host_defense_and_druggability nan host-defense and antigen-processing risk; prior waves already demoted cathepsin-like lysosomal inhibition True direct_antigen_processing_host_defense_and_druggability |  | weak_reachability;manual_or_prior_blocker |  | weak_reachability;manual_or_prior_blocker |  | insufficient_independent_convergence_	IFI30 targetability shortlist route	benchmark_antigen_processing_no_clean_modality	target-specific modulation unresolved
wave83_modality_class	FPR2_ANXA1_BIASED_RESOLUTION	FPR2		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution;source_not_demoted	True	False	True	False	False	True	True	False	7.1	dynamic resolution biology and chemical tractability exist, but strict MS expression anchor is negative/non-significant, the GWAS hit is not target-resolved, Wave37 efferocytosis perturbation is unresolved, and prior literature already covers SPM/FPR2 activity in autoimmune/EAE/colitis contexts. REOPEN_WITH_WETLAB_TEST_ONLY_NOT_V3_PROMOTION ms_anchor;genetic_or_target_resolution;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels 	FPR2/ALX biased agonism or ANXA1-mimetic resolution signaling	small molecule or peptide biased agonist; pro-resolution biologic	agonize pro-resolution signaling while avoiding inflammatory FPR2 modes
wave81_perturbation_first	GALC	GALC		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;prior_not_blocked;safety_direction_clear;source_not_demoted	True	False	True	True	True	False	False	False	7.0	sphingolipid enzyme route prior audited; no translational specificity NO_REOPEN_INSUFFICIENT_CONVERGENCE sphingolipid enzyme route prior audited; no translational specificity nan nan loss of GALC causes Krabbe disease, so inhibition is biologically unsafe; activation/restoration modality for inflammatory autoimmune lesions is unproven True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lysosomal_enzyme_delivery_direction_blocker;no_high_confidence_directional_support | lysosomal_enzyme_delivery_direction_blocker | weak_reachab		candidate modality channel	
