check	status	detail
template_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md
section_present.When To Use	PASS	required candidate-template section
section_present.Candidate Row Fields	PASS	required candidate-template section
section_present.Allowed Candidate Statuses	PASS	required candidate-template section
section_present.Forbidden Shortcuts	PASS	required candidate-template section
section_present.Promotion Rules	PASS	required candidate-template section
section_present.Boundary	PASS	required candidate-template section
link_present.knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	PASS	required link
link_present.knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	PASS	required link
link_present.docs/knowledge/EPISTEMIC_CLASSES.md	PASS	required link
link_present.scripts/v48_governance_preflight.py	PASS	required link
candidate_status_present.candidate_convergence	PASS	required candidate status
candidate_status_present.candidate_contradiction	PASS	required candidate status
candidate_status_present.insufficient_overlap	PASS	required candidate status
candidate_status_present.future_grounding_only	PASS	required candidate status
phrase_present.template_navigation_only	PASS	required boundary phrase
phrase_present.does_not_add_row	PASS	required boundary phrase
phrase_present.no_convergence	PASS	required boundary phrase
phrase_present.no_contradiction	PASS	required boundary phrase
phrase_present.same_definition	PASS	required boundary phrase
phrase_present.source_independence	PASS	required boundary phrase
phrase_present.candidate_not_finding	PASS	required boundary phrase
phrase_present.not_evidence	PASS	required boundary phrase
phrase_present.grounded_remains_evidence	PASS	required boundary phrase
table_count.required_fields	PASS	observed=15 expected=15
table_count.allowed_statuses	PASS	observed=4 expected=4
table_count.forbidden_shortcuts	PASS	observed=5 expected=5
summary_matches.markdown	PASS	expected=knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md observed=knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md
summary_matches.n_allowed_candidate_statuses	PASS	expected=4 observed=4
summary_matches.n_forbidden_shortcuts	PASS	expected=5 observed=5
summary_matches.n_required_fields	PASS	expected=15 observed=15
summary_matches.overall_status	PASS	expected=PASS observed=PASS
summary_matches.purpose	PASS	expected=V48 relationship-row candidate template; template/navigation only; no biological claim observed=V48 relationship-row candidate template; template/navigation only; no biological claim
