output_file	required	minimum_fields_or_content	why_needed	redaction_note	package_state	root	path	required_now	check_status	detail	hard_fail
RUN_METADATA.txt	yes	exact command; script commit/hash if available; expression-type; run timestamp; software versions	verifies frozen execution	exclude private paths if needed	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/RUN_METADATA.txt	True	PRESENT	text readable	False
validation_summary.json	yes	result_class; n_labeled; n_responders; n_nonresponders; primary_status; warnings	enables V42 result routing	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/validation_summary.json	True	PRESENT	json readable	False
sample_attrition.tsv	yes	counts by exclusion reason; no private IDs required	distinguishes unscoreable/underpowered from fail	aggregate or pseudonymized if terms allow	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/sample_attrition.tsv	True	PRESENT	tsv readable	False
gene_mapping_coverage.tsv	yes	module names; n genes; n present; coverage; scoreable status	verifies module coverage	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/gene_mapping_coverage.tsv	True	PRESENT	tsv readable	False
locked_rule_metrics.tsv	yes	AUC; AUC CI; Hedges g; permutation p; receptor/control metrics	primary frozen result	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/locked_rule_metrics.tsv	True	MISSING	file is absent	True
confounder_adjustment_metrics.tsv	yes	panel; scoreable; adjusted effect/AUC/status where produced	interprets confounding	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/confounder_adjustment_metrics.tsv	True	MISSING	file is absent	True
joint_confounder_metrics.tsv	yes	joint adjustment status and effect summary	interprets multi-confounder attenuation	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/joint_confounder_metrics.tsv	True	MISSING	file is absent	True
batch_diagnostic_metrics.tsv	yes	batch/QC fields tested; warning/fail status; response-correlation summary	interprets batch guard	aggregate only	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/batch_diagnostic_metrics.tsv	True	MISSING	file is absent	True
validation_result_report.md	yes	one V42 result class; required interpretation sentence; limitations	handoff-ready result	no private data	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/validation_result_report.md	True	MISSING	file is absent	True
failure_taxonomy_code.txt	yes_if_unscoreable	named V45 failure code; failed gate; allowed repair requested	interprets blocked package	no private data	unscoreable	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package	analysis/v46_returned_package_regression_suite/unscoreable_return_composition/synthetic/unscoreable_aggregate_package/failure_taxonomy_code.txt	True	PRESENT	text readable	False
