gene	manual_route	manual_direction_hypothesis	manual_safety_note	manual_prior_known_block	wave95_call	wave95_score	wave95_reason	wave95_failures	wave95_manual_prior_class	wave95_manual_prior_blocked	wave95_manual_modality_ready	wave95_manual_wetlab_only	wave95_gate_ms_anchor	wave95_gate_ms_trend	wave95_gate_cross_disease_residual	wave95_gate_response_specificity	wave95_gate_real_perturbation_or_validated_model	ms_delta_log2	ms_p	ms_fdr	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_context	uniprot_accessible	uniprot_locations	uniprot_transmembrane_feature_count	protein_name	europepmc_hit_count	clinicaltrials_hit_count	response_systems_tested	response_nonresponse_high_systems_p20	response_responder_high_systems_p20	response_direction_conflict	response_best_min_p	response_summary	wave79_call	wave79_gate_count	wave81_call	wave81_direct_perturbation	wave81_foundation_model_support	wave81_detail	wave91_call	wave91_score	wave91_route_blocker	wave47_reopen_call	wave47_missing_requirements	wave37_screen_call	wave37_contrast_lfc	wave37_contrast_fdr	wave18_recommendation	wave18_support_contexts	wave18_strong_support_contexts	wave62_call	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	gate_ms_anchor_or_trend	gate_cross_disease_breadth	gate_low_contradiction	gate_accessible_or_secreted	gate_response_signal	gate_perturbation_or_model	gate_genetic_anchor	gate_prior_not_known_block	gate_not_safety_blocked	gate_direction_not_conflicted	gate_not_already_hard_no	wave101_gate_count	wave101_score	wave101_missing_gates	wave101_call	wave101_call_priority
SEL1L3	undercharacterized extracellular SEL1-repeat membrane protein	inhibit or deplete only if target-specific perturbation reduces stromal/endothelial inflammatory licensing without barrier toxicity	unknown biology; antibody feasibility depends on extracellular accessibility and disease-cell specificity	False	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	12.172501683138025	expression/response signal lacks residualized controller evidence and validated perturbation direction	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	undercharacterized_no_intervention_package	False	False	False	True	True	False	True	False	0.922501683138024	0.0181382735511015	0.8372898579012464	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=2.09|p=0.00104	True	Membrane	1.0	Protein sel-1 homolog 3	0.0	0.0	3.0	2.0	0.0	False	0.073090974245208	IBD_external_antitnf:g=-0.288,p=0.128,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.604,p=0.0731,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.0574,p=0.923,nonctx=1,respctx=0	NO_GO_TARGETABILITY_SHORTLIST_NODE	3.0		0.0	0.0							UNRESOLVED	-0.1018527985910833	1.0	do_not_promote_from_foundation_model	1.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0	True	True	True	True	True	False	False	True	True	True	False	8	22.783752524707033	perturbation_or_model;genetic_anchor	PARK_NEEDS_PERTURBATION_AND_GENETIC_ANCHOR	4
FXYD5	FXYD5/dysadherin Na-K-ATPase and adhesion regulator	non-depleting inhibition or blocking antibody only if disease-high barrier/stromal signal drives inflammatory licensing	epithelial adhesion and Na/K-ATPase coupling create barrier and cancer-biology liabilities	False	PARK_WETLAB_KILL_TEST_ONLY	4.852474686441386	route can only be reopened by target-specific wet-lab perturbation/safety test	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	novelty_not_blocked_safety_modality_unresolved	False	False	True	False	True	False	False	False	0.3524746864413863	0.0587113391653537	0.8989378106274888	4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=2.32|p=0.0322	True	Basolateral cell membrane;Cell membrane	1.0	FXYD domain-containing ion transport regulator 5	104.0	0.0	3.0	1.0	1.0	True	0.0139844815849505	IBD_external_antitnf:g=-0.783,p=0.014,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.809,p=0.0197,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.35,p=0.491,nonctx=0,respctx=1		0.0		0.0	0.0							UNRESOLVED	-0.2178873508531571	1.0		0.0	0.0		0.0	0.0	0.0	0.0	True	True	True	True	True	False	False	True	True	False	True	7	17.228712029662077	perturbation_or_model;genetic_anchor;direction_not_conflicted	PARK_NEEDS_PERTURBATION_AND_GENETIC_ANCHOR	4
APOC1	secreted apolipoprotein/lipid-state protein	lipid-state marker until causal lipid-handling perturbation is shown	systemic lipid metabolism and conflicting disease compartments	False						False	False	False	False	False	False	False	False	0.8063088065414767	0.0333487255864159	0.8506970233122761	3.0	1.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell|role=tissue_resident|delta=1.51|p=0.00775	True	Secreted	0.0	Apolipoprotein C-I	0.0	0.0	3.0	1.0	1.0	True	0.0717806967648246	IBD_external_antitnf:g=-0.275,p=0.17,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.52,p=0.0718,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.716,p=0.107,nonctx=0,respctx=1		0.0		0.0	0.0							UNRESOLVED	0.2597261081403473	1.0	do_not_promote	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0	True	True	True	True	False	False	False	True	True	False	True	6	14.409463209812213	response_signal;perturbation_or_model;genetic_anchor;direction_not_conflicted	PARK_NEEDS_PERTURBATION_AND_GENETIC_ANCHOR	4
BTN2A2	butyrophilin immune checkpoint-like surface protein	restore inhibitory/tolerogenic signaling only if disease-cell perturbation supports it	T-cell checkpoint direction and psoriasis/IBD conflict are unresolved	False						False	False	False	False	False	False	False	False	0.2667644858023408	0.1863670669301857	0.8993702893651148	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=1.74|p=0.0102	True	Membrane	1.0	Butyrophilin subfamily 2 member A2	0.0	0.0	3.0	2.0	1.0	True	0.0035729011990271	IBD_external_antitnf:g=-0.335,p=0.111,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.826,p=0.00357,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.931,p=0.0731,nonctx=0,respctx=1		0.0		0.0	0.0							UNRESOLVED	-0.8726936912655642	0.920009505703422		0.0	0.0		0.0	0.0	0.0	0.0	False	True	True	True	True	False	False	True	True	False	True	6	16.30014672870351	ms_anchor_or_trend;perturbation_or_model;genetic_anchor;direction_not_conflicted	NO_GO_WEAK_MS_ANCHOR	5
LAPTM5	hematopoietic lysosomal membrane state/dependency protein	modulate only if lysosomal dependency perturbation is protective; current route has no clean extracellular handle	lysosomal membrane biology and lack of modality block translation	False						False	False	False	False	False	False	False	False	0.2726573823705198	0.1303632586408956	0.8989378106274888	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=2.76|p=0.00326	True	Lysosome membrane	5.0	Lysosomal-associated transmembrane protein 5	0.0	0.0	3.0	1.0	1.0	True	0.0011478737508947	IBD_external_antitnf:g=-1.07,p=0.00115,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=1.03,p=0.00641,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.0919,p=0.852,nonctx=1,respctx=0		0.0		0.0	0.0									1.0	do_not_promote	1.0	0.0		0.0	0.0	0.0	0.0	False	True	True	True	True	False	False	True	True	False	True	6	15.10898607355578	ms_anchor_or_trend;perturbation_or_model;genetic_anchor;direction_not_conflicted	NO_GO_WEAK_MS_ANCHOR	5
ADM	secreted adrenomedullin vasoactive peptide	not a clean autoimmune state controller without vascular/tissue specificity	hypotension/vascular biology and response direction conflict	False						False	False	False	False	False	False	False	False	0.4472306428657475	0.2265084165897911	0.8993702893651148	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis		ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=2.45|p=0.0165	True	Secreted	0.0	Pro-adrenomedullin	0.0	0.0	3.0	1.0	1.0	True	0.0719355553408588	IBD_external_antitnf:g=-0.575,p=0.0803,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.286,p=0.427,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.903,p=0.0719,nonctx=0,respctx=1		0.0		0.0	0.0							UNRESOLVED	-0.3606519701255484	0.920009505703422		0.0	0.0		0.0	0.0	0.0	0.0	False	True	True	True	False	False	False	True	False	False	True	4	11.37084596429862	ms_anchor_or_trend;response_signal;perturbation_or_model;genetic_anchor;not_safety_blocked;direction_not_conflicted	NO_GO_WEAK_MS_ANCHOR	5
GPNMB	repair/lysosomal surface glycoprotein with oncology ADC precedent	direction unresolved; could mark repair rather than pathogenic state	ADC/depletion route is unlikely to be safe for repair-state myeloid cells	False						False	False	False	False	False	False	False	False	0.0	1.0	1.0	0.0	0.0			t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=1.72|p=0.0956	False		0.0		0.0	0.0	3.0	1.0	1.0	True	0.0140228737939862	IBD_external_antitnf:g=-0.494,p=0.0594,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.77,p=0.014,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.313,p=0.505,nonctx=0,respctx=1		0.0		0.0	0.0		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5	PARK_MARKER_REPAIR_STATE_WITH_ONCOLOGY_ADC_PRECEDENT_BUT_WEAK_CAUSALITY			UNRESOLVED	-0.5151658166982862	0.920009505703422	do_not_promote	0.0	0.0		0.0	0.0	0.0	0.0	False	False	True	False	True	False	False	True	False	False	True	3	5.7	ms_anchor_or_trend;cross_disease_breadth;accessible_or_secreted;perturbation_or_model;genetic_anchor;not_safety_blocked;direction_not_conflicted	NO_GO_NO_ACTIONABLE_ACCESSIBILITY	7
NRCAM	neural/stromal adhesion molecule	avoid systemic targeting unless a non-neural disease-cell isoform mechanism is proven	node-of-Ranvier/neural adhesion biology creates a high safety blocker	False	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	12.048229037479263	expression/response signal lacks residualized controller evidence and validated perturbation direction	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	neural_adhesion_safety_and_weak_genetics	False	False	False	False	True	False	True	False	1.2982290374792624	0.0812547813304489	0.8989378106274888	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		ibd_crohn_stromal|Crohn disease|colon stromal|role=tissue_resident|delta=3.1|p=0.0146	True	Cell membrane;Cell projection, axon;Secreted	1.0	Neuronal cell adhesion molecule	0.0	0.0	3.0	3.0	0.0	False	0.0036724740048767	IBD_external_antitnf:g=-1.23,p=0.00367,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.714,p=0.00955,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.84,p=0.133,nonctx=1,respctx=0		0.0		0.0	0.0							UNRESOLVED	0.2092097024064988	1.0		0.0	0.0		0.0	0.0	0.0	0.0	True	True	True	True	True	False	False	True	False	True	False	7	22.54734355621889	perturbation_or_model;genetic_anchor;not_safety_blocked	NO_GO_SAFETY_BLOCKED_NEURAL_ADHESION	8
CD82	tetraspanin membrane microdomain/endolysosomal trafficking regulator	direction unresolved; block, agonize, or cluster depending on whether CD82 is driver or compensatory trafficking marker	tetraspanin biology is pleiotropic and lacks target-resolved genetics	True	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	8.253694654227074	expression/response signal lacks residualized controller evidence and validated perturbation direction	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	direction_actionability_blocked	False	False	False	False	False	False	True	False	0.5036946542270737	0.1728910748647989	0.8993702893651148	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=1.51|p=0.0136	True	Cell membrane;Cytoplasmic vesicle, phagosome	4.0	CD82 antigen	941.0	0.0	3.0	2.0	0.0	False	5.867470218637578e-05	IBD_external_antitnf:g=-1.08,p=5.87e-05,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.169,p=0.603,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.797,p=0.146,nonctx=1,respctx=0		0.0		0.0	0.0							UNRESOLVED	-0.7753564927591152	0.9971256078463696		0.0	0.0		0.0	0.0	0.0	0.0	False	True	True	True	True	False	False	False	True	True	False	6	17.15554198134061	ms_anchor_or_trend;perturbation_or_model;genetic_anchor;prior_not_known_block	NO_GO_PRIOR_OR_CROWDED_ROUTE	9
CD200	CD200/CD200R checkpoint ligand axis	restore CD200R inhibitory signaling only if receptor-side tissue direction is resolved	immune-checkpoint biology is crowded and directionally context-dependent	True	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	10.58843972441597	expression/response signal lacks residualized controller evidence and validated perturbation direction	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	checkpoint_direction_receptor_side_unresolved	False	True	False	False	True	False	False	False	1.8384397244159705	0.0908591902171466	0.8989378106274888	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=2.22|p=0.0191	True	Cell membrane	1.0	OX-2 membrane glycoprotein	0.0	0.0	3.0	2.0	1.0	True	0.010016993110532	IBD_external_antitnf:g=-0.736,p=0.0199,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.815,p=0.01,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.811,p=0.165,nonctx=0,respctx=1		0.0		0.0	0.0							UNRESOLVED	-0.135588233704518	0.9971256078463696		0.0	0.0		0.0	0.0	0.0	0.0	True	True	True	True	True	False	False	False	True	False	False	6	15.657659586623954	perturbation_or_model;genetic_anchor;prior_not_known_block;direction_not_conflicted	NO_GO_PRIOR_OR_CROWDED_ROUTE	9
