item_id	critical	claim_ids	expected_concept	grade_minus1_0_1_2	dangerous_overread_yes_no	notes_no_health_information
Q01	yes	M01	One provisional early-treatment monitoring lead awaiting independent validation			
Q02	yes	M05	Monitoring may report change but does not select treatment prove efficacy or identify a target			
Q03	no	A01	Frozen analysis on a correctly structured independent cohort with precommitted interpretation			
Q04	no	M04	Not a pure mechanism; broad immune tone attenuates and direct steroid exposure was not measured			
Q05	yes	P01-P05	No progression result; required longitudinal molecular-to-confirmed-disability design is missing			
Q06	no	G03-G05;D02-D03	Names one bounded or closed route and the actual reason			
Q07	no	G02	ZMIZ1 is a supported decoupling warning rather than a target nomination or simple closure			
Q08	no	C01-C02	Source-diagnosis entanglement can mimic association without invalidating every brain-bank study			
Q09	no	D04-D05	Corpus-specific decision boundary rather than universal biological exhaustion			
Q10	yes	E02-E03	Literature predictions and models provide context or proposals not project evidence			
Q11	yes	NA	Useful idea includes prediction data null or holdout confounders decision consequence and drop rule			
Q12	no	NA	Can locate an open problem nearest closure and submission template			
